Title;ID;Authors;Corporate authors;Abstract/Description;Link to the publication;Resource types;Related Concepts;Themes;Overarching Categories;Publicaton date (YYYY/MM);Thumbnail;Language;Publishers;Geographical focus;Copyright owner;Data provider
Land in the New Urban Agenda - A Briefing note for Policy-Makers;GLTN-2268;;Global Land Tool Network;Land is central to sustainable urban development as most measures are only possible to be realized if sufficient land at the right location is available and affordable. The issues of land in human settlements are increasingly similar in countries at all levels of economic development from small rural settlements in developed countries to mega-cities in developing countries.This briefing note outlines commitments that policy makers in local governments should make and act upon regarding land issues within the New Urban Agenda.;http://gltn.net/index.php/publications/publications/publications-list/download/2-gltn-documents/2268-land-in-the-new-urban-agenda-a-briefing-note-for-policy-makers;Policy Papers & Briefs;land development (urbanization), land policies, sustainable development, housing rights, urbanization, land use planning;Urbanization;Land policy & Legislation;2016/06;www.gltn.net/images/Land_in_the_NUA-JUN_2016.jpg;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
Scoping and Status Study on Land and Conflict;GLTN-2269;Filiep Decorte, Clarissa Augustinus, Erika Lind, Michael Brown;;"This report on the Scoping and Status Study on Land and Conflict reviews the global context and the inspiration driving the study, The three key findings of the study are the existence of multiple areas of UN engagement on land and conflict across the UN pillars, the existence of multiple entry points for improved synergy and that the status quo is not fit for purpose. Based on the above findings, the study presents six recommendations &nbsp;for consideration by the Rule of Law Resource and Coordination Group, the UN Working Group on Transition, other non-UN entities and Member States.";http://gltn.net/index.php/publications/publications/download/2-gltn-documents/2269-scoping-and-status-study-on-land-and-conflict;Reports & Research;land conflicts, land access, security of tenure (land), land ownership, land dispute resolution, land administration;Land Conflicts;Access to Land & Tenure Security;2016/05;www.gltn.net/images/Scoping_and_Status_Study_on_Land_and_Conflict_-_Working_Paper.jpg;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
1. Solutions at Scale: Overcoming Land as a Driver of Conflict and Bottleneck to Recovery - Paper;GLTN-2270;Filiep Decorte, Clarissa Augustinus, Oumar Sylla, Ombretta Tempra, Francesca Marzatico;;Solutions at Scale: Overcoming Land as a Driver of Conflict and Bottleneck to Recovery - Paper;http://gltn.net/index.php/publications/publications/download/2-gltn-documents/2269-scoping-and-status-study-on-land-and-conflict;Reports & Research;land conflicts, land dispute resolution, capacity building, land access, land ownership;Land Conflicts;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
Solutions at Scale: Overcoming Land as a Driver of Conflict and Bottleneck to Recovery - PPT;GLTN-2271;Filiep Decorte, Clarissa Augustinus, Oumar Sylla, Ombretta Tempra, Francesca Marzatico;;Solutions at Scale: Overcoming Land as a Driver of Conflict and Bottleneck to Recovery - PPT;http://gltn.net/index.php/publications/publications/download/3-other-documents/2271-solutions-at-scale-overcoming-land-as-a-driver-of-conflict-and-bottleneck-to-recovery-ppt;Multimedia;land conflicts, land dispute resolution, capacity building, land access, land ownership;Land Conflicts;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
2. Strengthening Arab Women's Property Rights and Access to Land - Paper ;GLTN-2272;Doaa El Sherif, M. Siraj Sirait, Ombretta Tempra, Dina Naguib;;Improving Women's Access to Land and Property in The Arab States: The Role Of Inheritance, Dower, and Marital Property;http://gltn.net/index.php/publications/publications/download/3-other-documents/2272-strengthening-arab-women-s-property-rights-and-access-to-land-paper;Policy Papers & Briefs;gender equity in access to land, property rights, Women, land access, security of tenure (land), land ownership;Land & Gender;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Algeria, Bahrain, Djibouti, Egypt, Iraq, Jordan, Kuwait, Lebanon, Libya, Morocco, Mauritania, Oman, Palestinian Territories, Qatar, Saudi Arabia, Somalia, Sudan, Syria, Tunisia, United Arab Emirates, Yemen.;Global Land Tool Network;Global Land Tool Network
2. Strengthening Arab Women's Property Rights and Access to Land - PPT ;GLTN-2273;Doaa El Sherif, M. Siraj Sirait, Ombretta Tempra, Dina Naguib;;Strengthening Arab Women's Property Rights and Access to Land - PPT ;http://gltn.net/index.php/publications/publications/download/3-other-documents/2273-strengthening-arab-women-s-property-rights-and-access-to-land-ppt;Multimedia;gender equity in access to land, property rights, Women, land access, security of tenure (land), land ownership;Land & Gender;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Algeria, Bahrain, Djibouti, Egypt, Iraq, Jordan, Kuwait, Lebanon, Libya, Morocco, Mauritania, Oman, Palestinian Territories, Qatar, Saudi Arabia, Somalia, Sudan, Syria, Tunisia, United Arab Emirates, Yemen.;Global Land Tool Network;Global Land Tool Network
3. Scaling Up Land-based Financing for Sustainable and Equitable Cities - Paper;GLTN-2274;Lawrence C. Walters, Rebecca Ochong, Liz Paterson, Jean du Plessis;;Scaling Up Land-based Financing for Sustainable and Equitable Cities - Paper;http://gltn.net/index.php/publications/publications/download/3-other-documents/2274-3-scaling-up-land-based-financing-for-sustainable-and-equitable-cities-paper;Policy Papers & Briefs;land development (urbanization), land policies, land investments, land use planning, sustainable development;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
3. Scaling Up Land-based Financing for Sustainable and Equitable Cities - PPT;GLTN-2275;Lawrence C. Walters, Rebecca Ochong, Liz Paterson, Jean du Plessis;;Scaling Up Land-based Financing for Sustainable and Equitable Cities - PPT;http://gltn.net/index.php/publications/publications/download/3-other-documents/2275-3-scaling-up-land-based-financing-for-sustainable-and-equitable-cities-ppt;Multimedia;land development (urbanization), land policies, land investments, land use planning, sustainable development;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
4. STDM-Online, the Social Tenure Domain Model on the Web - Paper;GLTN-2276;Arnulf Christl, Cyprian Celebalo, Danilo Antonio, John Gitau;;4. STDM-Online, the Social Tenure Domain Model on the Web - Paper;http://gltn.net/index.php/publications/publications/download/3-other-documents/2276-4-stdm-online-the-social-tenure-domain-model-on-the-web-ppt;Policy Papers & Briefs, Training Resources & Tools;land administration, security of tenure (land), customary tenure, customary lands, capacity building, cadastres, cadastral administration, land ownership;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
4. STDM-Online, the Social Tenure Domain Model on the Web - PPT;GLTN-2277;Arnulf Christl, Cyprian Celebalo, Danilo Antonio, John Gitau;;4. STDM-Online, the Social Tenure Domain Model on the Web - Paper;http://gltn.net/index.php/publications/publications/download/3-other-documents/2277-4-stdm-online-the-social-tenure-domain-model-on-the-web-ppt;Multimedia;land administration, security of tenure (land), customary tenure, customary lands, capacity building, cadastres, cadastral administration, land ownership;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Global;Global Land Tool Network;Global Land Tool Network
6. Implementation of Responsible Land Governance: A Land Information System for Sustainable Development in Turkana County - Paper;GLTN-2279;Francisco Carranza, Cyprian Selebalo, Solomon Mkumbwa, John Gitau;;Implementation of Responsible Land Governance: A Land Information System for Sustainable Development in Turkana County;http://gltn.net/index.php/publications/publications/download/3-other-documents/2279-6-implementation-of-responsible-land-governance-a-land-information-system-for-sustainable-development-in-turkana-county-paper;Policy Papers & Briefs;land administration, land information systems, geographical information systems, cadastres;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Kenya;Global Land Tool Network;Global Land Tool Network
6. Implementation of Responsible Land Governance: A Land Information System for Sustainable Development in Turkana County - PPT;GLTN-2280;Francisco Carranza, Cyprian Selebalo, Solomon Mkumbwa, John Gitau;;Implementation of Responsible Land Governance: A Land Information System for Sustainable Development in Turkana County;http://gltn.net/index.php/publications/publications/download/3-other-documents/2280-6-implementation-of-responsible-land-governance-a-land-information-system-for-sustainable-development-in-turkana-county-ppt;Multimedia;land administration, land information systems, geographical information systems, cadastres;;Land use, Management & Investment;2016/03;;English;Global Land Tool Network;Kenya;Global Land Tool Network;Global Land Tool Network
7. Enhancing Tenure Security for Customary Lands and Natural Resources in Karamoja Region through Participatory Community Mapping - Paper;GLTN-2281;Adiba Emmanuel, Samuel Mabikke, Lowie Rosales-Kawasaki, Edmond Malilo Owor, Ronald Mwandeje, John Mwebe , Danilo Antonio;;Enhancing Tenure Security for Customary Lands and Natural Resources in Karamoja Region through Participatory Community Mapping;http://gltn.net/index.php/publications/publications/download/3-other-documents/2281-7-enhancing-tenure-security-for-customary-lands-and-natural-resources-in-karamoja-region-through-participatory-community-mapping-paper;Policy Papers & Briefs;security of tenure (land), land access, customary tenure, customary land rights, land policies, natural resources, local communities, land use mapping;;"Access to Land & Tenure Security; Land use, Management & Investment";2016/03;;English;Global Land Tool Network;Uganda;Global Land Tool Network;Global Land Tool Network
7. Enhancing Tenure Security for Customary Lands and Natural Resources in Karamoja Region through Participatory Community Mapping - PPT;GLTN-2282;Adiba Emmanuel, Samuel Mabikke, Lowie Rosales-Kawasaki, Edmond Malilo Owor, Ronald Mwandeje, John Mwebe , Danilo Antonio;;Enhancing Tenure Security for Customary Lands and Natural Resources in Karamoja Region through Participatory Community Mapping;http://www.gltn.net/index.php/publications/publications/download/3-other-documents/2282-7-enhancing-tenure-security-for-customary-lands-and-natural-resources-in-karamoja-region-through-participatory-community-mapping-ppt;Multimedia;security of tenure (land), land access, customary tenure, customary land rights, land policies, natural resources, local communities, land use mapping;;"Access to Land & Tenure Security; Land use, Management & Investment";2016/03;;English;Global Land Tool Network;Uganda;Global Land Tool Network;Global Land Tool Network
8. Developing Capacity Assessment Tool for Land Policy Implementation: Experience from Kenya, Mozambique and Uganda - Paper ;GLTN-2283;Walter Timo de Vries, Liza Groenendijk, Moses Musinguzi, Cyprian Selebalo;;Developing Capacity Assessment Tool for Land Policy Implementation: Experience from Kenya, Mozambique and Uganda;http://gltn.net/index.php/publications/publications/download/3-other-documents/2283-8-developing-capacity-assessment-tool-for-land-policy-implementation-experience-from-kenya-mozambique-and-uganda-paper;Reports & Research;land policies, capacity building, land rights;Land Stakeholders & Institutions;Land policy & Legislation;2016/03;;English;Global Land Tool Network;Kenya, Mozambique, Uganda;Global Land Tool Network;Global Land Tool Network
8. Developing Capacity Assessment Tool for Land Policy Implementation: Experience from Kenya, Mozambique and Uganda - PPT;GLTN-2284;Walter Timo de Vries, Liza Groenendijk, Moses Musinguzi, Cyprian Selebalo;;Developing Capacity Assessment Tool for Land Policy Implementation: Experience from Kenya, Mozambique and Uganda;http://gltn.net/index.php/publications/publications/download/3-other-documents/2284-8-developing-capacity-assessment-tool-for-land-policy-implementation-experience-from-kenya-mozambique-and-uganda-ppt;Multimedia;land policies, capacity building, land rights;Land Stakeholders & Institutions;Land policy & Legislation;2016/03;;English;Global Land Tool Network;Kenya, Mozambique, Uganda;Global Land Tool Network;Global Land Tool Network
5. Implication of Increasing Land Value on Land Tenure Security: Experiences from Kalangala Oil Palm Growers Trust, Uganda - Paper ;GLTN-2285;Nelson Basaalidde, Samuel Mabikke, Solomon Mkumbwa, Danilo Antonio, John Gitau, Connie Magomu Masaba, Richard Nick Kabuleta, Harold Liversage;;Implication of Increasing Land Value on Land Tenure Security: Experiences from Kalangala Oil Palm Growers Trust, Uganda;http://gltn.net/index.php/publications/publications/download/3-other-documents/2285-5-implication-of-increasing-land-value-on-land-tenure-security-experiences-from-kalangala-oil-palm-growers-trust-uganda-paper;Reports & Research;security of tenure (land), land access, land grabbing, extractive industries, palm oil industries;Commercial Pressures on Land;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Uganda;Global Land Tool Network;Global Land Tool Network
5. Implication of Increasing Land Value on Land Tenure Security: Experiences from Kalangala Oil Palm Growers Trust, Uganda - PPT;GLTN-2286;Nelson Basaalidde, Samuel Mabikke, Solomon Mkumbwa, Danilo Antonio, John Gitau, Connie Magomu Masaba, Richard Nick Kabuleta, Harold Liversage;;Implication of Increasing Land Value on Land Tenure Security: Experiences from Kalangala Oil Palm Growers Trust, Uganda;http://gltn.net/index.php/publications/publications/download/3-other-documents/2286-5-implication-of-increasing-land-value-on-land-tenure-security-experiences-from-kalangala-oil-palm-growers-trust-uganda-ppt;Multimedia;security of tenure (land), land access, land grabbing, extractive industries, palm oil industries;Commercial Pressures on Land;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Uganda;Global Land Tool Network;Global Land Tool Network
9. Enhancing tenure security for local development through legal recognition and scaling up of participatory mapping of community forests under customary lands in Mangochi District in Malawi - Paper;GLTN-2287;Solomon Mkumbwa, Chikosa Silungwe (PhD), Chris Dhose, Arthur Stevens, Harold Liversage, Clement Chilima (PhD), Hellen Nyamweru, Marie Providence Mugangu;;Enhancing tenure security for local development through legal recognition and scaling up of participatory mapping of community forests under customary lands in Mangochi District in Malawi;http://gltn.net/index.php/publications/publications/send/3-other-documents/2287-9-enhancing-tenure-security-for-local-development-through-legal-recognition-and-scaling-up-of-participatory-mapping-of-community-forests-under-customary-lands-in-mangochi-district-in-malawi-paper;Reports & Research;security of tenure (land), legal empowerment, local communities, customary tenure, land use mapping, land ownership, land access;;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Malawi;Global Land Tool Network;Global Land Tool Network
9. Enhancing tenure security for local development through legal recognition and scaling up of participatory mapping of community forests under customary lands in Mangochi District in Malawi - PPT;GLTN-2288;Solomon Mkumbwa, Chikosa Silungwe (PhD), Chris Dhose, Arthur Stevens, Harold Liversage, Clement Chilima (PhD), Hellen Nyamweru, Marie Providence Mugangu;;Enhancing tenure security for local development through legal recognition and scaling up of participatory mapping of community forests under customary lands in Mangochi District in Malawi;http://gltn.net/index.php/publications/publications/download/3-other-documents/2288-9-enhancing-tenure-security-for-local-development-through-legal-recognition-and-scaling-up-of-participatory-mapping-of-community-forests-under-customary-lands-in-mangochi-district-in-malawi-ppt;Multimedia;security of tenure (land), legal empowerment, local communities, customary tenure, land use mapping, land ownership, land access;;Access to Land & Tenure Security;2016/03;;English;Global Land Tool Network;Malawi;Global Land Tool Network;Global Land Tool Network
10. Applying People's Processes in Customary Land Certification - Experiences from Zambia - Paper ;GLTN-2289;Regina Pritchett, Veronica Katalushi, Samuel Mabikke, Cyprian Selebalo, Danilo Antonio;;Applying People's Processes in Customary Land Certification - Experiences from Zambia;http://gltn.net/index.php/publications/publications/send/3-other-documents/2289-10-applying-peoples-processes-in-customary-land-certification-experiences-from-zambia-paper;Policy Papers & Briefs;customary tenure, land registration, security of tenure (land), land administration;;"Access to Land & Tenure Security; Land Use, Management & Investment";2016/03;;English;Global Land Tool Network;Zambia;Global Land Tool Network;Global Land Tool Network
10. Applying Peoples' Processes in Customary Land Certification - Experiences from Zambia - PPT;GLTN-2290;Regina Pritchett, Veronica Katalushi, Samuel Mabikke, Cyprian Selebalo, Danilo Antonio;;Applying People's Processes in Customary Land Certification - Experiences from Zambia;http://gltn.net/index.php/publications/publications/download/3-other-documents/2290-10-applying-peoples-processes-in-customary-land-certification-experiences-from-zambia-ppt;Multimedia;customary tenure, land registration, security of tenure (land), land administration;;"Access to Land & Tenure Security; Land Use, Management & Investment";2016/03;;English;Global Land Tool Network;Zambia;Global Land Tool Network;Global Land Tool Network
11. Urbanisation in Asia and the Pacific: Challenges for Responsible Land Administration and Land Management - Paper ;GLTN-2291;David Mitchell, Donovan Storey, Danilo Antonio, Cheehai Teo, Lowie Rosales Kawasaki;;Urbanisation in Asia and the Pacific: Challenges for Responsible Land Administration and Land Management;http://gltn.net/index.php/publications/publications/download/3-other-documents/2291-11-urbanisation-in-asia-and-the-pacific-challenges-for-responsible-land-administration-and-land-management-paper/;Policy Papers & Briefs;land development (urbanization), land administration, land management, sustainable land management, slums, housing rights, security of tenure (land);Urbanization;"Access to Land & Tenure Security; Land Use, Management & Investment";2016/03;;English;Global Land Tool Network;Asia and the Pacific;Global Land Tool Network;Global Land Tool Network
11. Urbanisation in Asia and the Pacific: Challenges for Responsible Land Administration and Land Management - PPT;GLTN-2292;David Mitchell, Donovan Storey, Danilo Antonio, Cheehai Teo, Lowie Rosales Kawasaki;;Urbanisation in Asia and the Pacific: Challenges for Responsible Land Administration and Land Management;http://gltn.net/index.php/publications/publications/download/3-other-documents/2292-11-urbanisation-in-asia-and-the-pacific-challenges-for-responsible-land-administration-and-land-management-ppt;Multimedia;land development (urbanization), land administration, land management, sustainable land management, slums, housing rights, security of tenure (land);Urbanization;"Access to Land & Tenure Security; Land Use, Management & Investment";2016/03;;English;Global Land Tool Network;Asia and the Pacific;Global Land Tool Network;Global Land Tool Network
