ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages;
eldis:A28295;Carrying capacity, rangeland degredation and livestock development for the communal rangelands of Botswana;;Recent arguments have stated that the new livestock development policy will carry a high social cost, that the reality of range degradation in Botswana has been ignored, and that there is no basis for assuming that de-stocking would decrease the productivity of rangeland. This paper attempts to address some of these issues.Paper argues that confusion in the debate arises from the role of science in providing evidence and proof, conflicting theories of degradation, differences between definitions of degradation, assumptions about thresholds of degradation, and over the estimation of the impacts of stocking policy.  Each of these issues are dealt with. ;R. White;;Pastoral Development Network, ODI;eldis;01/01/1993;en;"development;land degradation;rangelands;land";"Land, Climate change & Environment;Rangelands, Drylands & Pastoralism";Land Use, Management & Investment;"BWA;202";;http://www.eldis.org/document/A28295;http://www.odi.org.uk/pdn/papers/paper35c.html;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.odi.org.uk%2Fpdn%2Fpapers%2Fpaper35c.html;;;;"Conflict and security;livestock;EADI;Pastoralism land use conflict;Agriculture and food;Environmental conflict;Pastoralism;Animal production and health;pastoralism grazing and pasture;pastoralism;land degradation;Range management"
eldis:A65576;Climate change, water conflicts and human security;;"This report presents a comprehensive regional assessment of the Mediterranean, Middle East, and Sahel in terms of climate change impacts, vulnerabilities, conflict/cooperation and human security at various scales and in a variety of contexts. The Climate Change, Hydro Conflicts and Human Security (CLICO) project builds on interdisciplinary and cross-comparative research covering a variety of geographical scales and historical contexts to unravel social, political, environmental/ ecological and economic conditions in relation to the environment.
 ";"J. Kloos
N. Gebert
T. Rosenfeld
F. Renaud";;United Nations University Institute for Environment and Human Security;eldis;01/01/2013;en;climate change;Land, Climate change & Environment;;"BFA;145;MRT;GMB;MLI;015;SSD;SEN;NER;ERI";;http://www.eldis.org/document/A65576;http://www.ehs.unu.edu/file/download/11351.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.ehs.unu.edu%2Ffile%2Fdownload%2F11351.pdf;;;;"Water in climate change;Livelihoods conflict and disasters;Climate and Development Knowledge Network;Climate change;CDKN;Source;climate change conflicts;Livelihoods;Natural resource management;Funder;water conflicts;Bookmarklet"
eldis:A65575;Pastoralists and wildlife conservation in western China: collaborative management within protected areas on the Tibetan Plateau;;"Background Pastoralists have long inhabited vast areas of western China, including the Tibetan Plateau region. Their traditional land use practices and cultural conservation ethic have helped to protect the natural resource base upon which they depend and the wildlife that co-exist with them in the grassland landscapes. However, in a rapidly changing socio-economic environment, including significant expansion of the protected area system and regional comprehensive development plans, local communities do not always have an evident voice in the conservation and development dialogues that closely affect their lives.

With introduction and development of collaborative management - that is, a partnership between local communities, nature reserve authorities and other stakeholders - a landscape-level approach to conservation is now being modelled in Qinghai Province. Central to effective co-management are bi-directional relationships. There are also a wealth of direct and indirect services that may be provided by pastoralists under co-management, and in the compensation and payment options available to them in return for their critical services.

As this paper concludes, the contributions of pastoralists to wildlife conservation efforts are significant, but up to now insufficiently recognised. New insights regarding the relationship between pastoralists and wildlife conservation - including the potential role of community ecotourism, the development of local herders' cooperatives and of trust funds, and the need for greater clarity in local regulatory frameworks - are provided herein, with presentation of specific experiences and lessons learned from a project piloted in the headwaters of the Yangtze River over the past decade. A fuller, richer model of co-management is recommended.
 ";M. Foggin;;;eldis;01/01/2012;en;"pastoralists;protected areas;area;nature reserves;environment";"Land, Climate change & Environment;Rangelands, Drylands & Pastoralism;Land Stakeholders & Institutions";Land Use, Management & Investment;"030;009;CHN";;http://www.eldis.org/document/A65575;http://www.pastoralismjournal.com/content/2/1/17;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.pastoralismjournal.com%2Fcontent%2F2%2F1%2F17;;;;"Tibetan herders;wildlife conservation;Biodiversity and environment;Western China;Agriculture and food;Source;co-management;Pastoralism;Bookmarklet;Environment;Tibet;nature reserves;Landscape conservation"
eldis:A35706;Peri-urban water conflicts: supporting dialogue and negotiation;;"As cities expand, a key challenge is securing water supplies for urban populations and disposing of pollution while minimising impacts on peri-urban communities and the environment.  This book describes the conflicts, dialogues and negotiations underway in peri-urban areas of many cities in the South. 
Based on three case studies from Sao Paulo (Brazil), Cochabamba (Bolivia) and Chennai (India), it reveals how people and communities without good access to water and sanitation services depend upon alternatives to conventional service delivery from utilities, and explores how these arrangements can be supported. In particular, the case studies explore how stakeholders can be brought together to find better solutions to infrastructural development in peri-urban areas, and how research can provide information, tools and approaches to facilitate these processes. 
The research is based on the Negowat project, a four year research initiative undertaken by a consortium of research and non-governmental organisations from Europe, Latin America and India. 
The authors find that, there are several similarities as well as important differences across these three widely differing cities. They find that: 

    in each city, there are huge problems in service delivery to expanding populations in the peri-urban areas. These are probably insurmountable in the short term due to existing patterns of development in the cities
    in each case, however, innovative, locally-inspired and alternative solutions have emerged to fill the gaps in formal systems 
    sometimes these have clear overall benefits such as the generally well-performing community-managed water systems in Cochabamba, but sometimes they are associated with severe negative impacts, for example, the over-exploitation and inefficiencies associated with private water markets and tankering in Chennai 
    in the three case study processes, researcher-initiated and supported negotiation processes were found to contribute to the search for less painful, less conflictive or more inclusive urbanisation. 
 ";"J. Butterworth (ed)
R. Ducrot (ed)
N. Faysse
S. Janakarajan (ed)";;IRC International Water and Sanitation Centre;eldis;01/01/2007;en;environment;Land, Climate change & Environment;;"IND;034;BOL;419;BRA";;http://www.eldis.org/document/A35706;http://www.irc.nl/content/download/130403/360722/file/TP50_Peri-urban%20Water%20Conflicts.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.irc.nl%2Fcontent%2Fdownload%2F130403%2F360722%2Ffile%2FTP50_Peri-urban%2520Water%2520Conflicts.pdf;;;;"Brazil;São Paulo;Cochabamba;water governance;Governance;Environment;peri-urban;Health;Stakeholders in conflict;Public sector & service delivery water and sanitation;Public sector & service delivery;Bolivia;Environment and water;service delivery;Chennai;urbanisation;Conflict and security;Water and sanitation for health;Urban governance water and sanitation;water;cities;sanitation;Urban governance;India"
eldis:A70571;Environmental livelihood security in Southeast Asia and Oceania: a water-energy-food-livelihoods nexus approach for spatially assessing change;;"This document addresses the need for explicit inclusion of livelihoods within the environment nexus (water-energy-food security). The authors present a conceptualisation of ‘environmental livelihood security’, which combines the nexus perspective with sustainable livelihoods. The geographical focus of this paper is Southeast Asia and Oceania, which the authors highlight is a region currently wrought by the impacts of a changing climate. Climate change is the primary external forcing mechanism on the environmental livelihood security of communities in Southeast Asia and Oceania which, therefore, forms the applied crux of this paper. The paper provides a primer for using geospatial information to develop a spatial framework to enable geographical assessment of environmental livelihood security across the region. It concludes by linking the value of this research to ongoing sustainable development discussions, and for influencing policy agendas.
 ";"E.M. Biggs
B. Boruff
E. Bruce";;International Water Management Institute ;eldis;01/01/2014;en;"food security;sustainable development;climate change;environment;natural disasters;farmland;assessment";"Land, Climate change & Environment;Socio-Economic & Institutional Context;Land & Food Security";Land Use, Management & Investment;"030;009";;http://www.eldis.org/document/A70571;http://www.iwmi.cgiar.org/Publications/Other/PDF/environmental_livelihood_security_in_southeast_asia_and_oceania.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.iwmi.cgiar.org%2FPublications%2FOther%2FPDF%2Fenvironmental_livelihood_security_in_southeast_asia_and_oceania.pdf;;;;"Content partner summary;International Water Management Institute;Water in climate change;Livelihoods food security;International Water Management Institute ;cyclones;Remote sensing;community management;urbanisation;energy;Biodiversity and environment;sociocultural environment;CDKN;Climate change gender;Environment;Source;natural disasters;Food security;environmental management;Livelihoods;sustainable livelihoods;Ecological factors;political aspects;precipitation;water-energy-food nexus;water security;Climate change;farmland;monitoring;temperature;Environment and water;environmental sustainability;energy conservation;Bookmarklet;sustainable development;Living standards;Urban areas cities and climate change;Funder;Climate change agriculture and food security;Environment and natural resource management;assessment;institutions"
eldis:A12769;The impact of property rights on households’ investment, risk coping, and policy preferences: evidence from China;;This paper addresses the issue of land security and sustainability.  The paper tackles the assumption that, in the case of China, giving farmers more secure land rights would undermine the function of land as a social safety net and, as a consequence, not be sustainable or command broad support.The report draws on data from three provinces, one of which had adopted a policy to increase security of tenure in advance of the others.  It finds that greater tenure security, especially if combined with transferability of land, had a positive impact on agricultural investment and, within the time frame considered, led neither to an increase in inequality of land distribution nor a reduction in households’ ability to cope with exogenous shocks. Household support for more secure property rights is increased by their access to other insurance mechanisms, suggesting some role of land as a safety net. At the same time, past exposure to this type of land right has a much larger impact quantitatively, suggesting that a large part of the resistance to changed property rights arrangements disappears as household familiarity with such rights increases.The paper concludes that implementation of a policy that gradually increases tenure security as well as the transferability of land will yield economic benefits without obvious negative social consequence. Such a policy would  be a logical extension of the initiatives started with the adoption of the household responsibility system and geared towards advancing economic development in China’s rural areas. ;"K. Deininger
S. Jin";;World Bank;eldis;01/01/2002;en;"land;land tenure;property rights;poverty;property";;"Land Policy & Legislation;Access to Land & Tenure Security";"030;009;CHN";;http://www.eldis.org/document/A12769;http://documents.worldbank.org/curated/en/docsearch?query=wps2931;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fdocuments.worldbank.org%2Fcurated%2Fen%2Fdocsearch%3Fquery%3Dwps2931;;;;"property rights;social protection and risk;land security;land tenure;Agriculture and food;land;Poverty;Land tenure"
eldis:A29838;Negotiating rights: access to land in the cotton zone, Burkina Faso;;"The paper examines how derived rights have evolved through settlement, loan, rental or purchase contracts and how these arrangements have developed as a result of national policy and socio-economic history. It goes on to examine how the unique circumstances of ""established"" and ""pioneer"" farming areas show differing patterns of change in arrangements over time. The author then looks at the wider questions of how arrangements affect security of tenure and scrutinises the relationship between official land rights bodies, government policy and the informal structure of contracts.The author concludes that the driving force behind differing contract strategies is the search for a secure livelihood and that this always overrides law and the enforcement of policy. Tenure policies must be integrated within broader development policies that have an understanding of tenure practices. ";L. Pare;;International Institute for Environment and Development ;eldis;01/01/2001;en;"land;land rights;land tenure";;"Land Policy & Legislation;Access to Land & Tenure Security";"BFA;202";;http://www.eldis.org/document/A29838;http://www.iied.org/pubs/pdfs/9040IIED.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.iied.org%2Fpubs%2Fpdfs%2F9040IIED.pdf;;;;"Conflict and security;EADI;resettlement;Land tenure;Agriculture and food;land rights;customary"
eldis:A70574;Planting the foundations of a post-2020 land sector reporting and accounting framework;;"This paper presents possible elements of a long-term international vision for land sector reporting and accounting. The vision is of a multi-dimensional land sector reporting and accounting framework that is applicable to all countries and increases in comprehensiveness over time. The overarching objective of the framework is to build trust between Parties to the United Nations Framework Convention on Climate Change (UNFCCC) by tracking progress in implementation of mitigation contributions in the land sector. The paper argues that two of the most important dimensions could be the coverage of accounting for key sources and sinks and the quality and accuracy of data used for accounting. It outlines possible short-term steps for COP 20, COP 21 and 2016-2020 that could put Parties on a pathway towards realising the long-term vision.
 ";"G. Briner
S. Konrad";;Organisation for Economic Co-operation and Development ;eldis;14/11/2014;en;"climate change;land";Land, Climate change & Environment;;;;http://www.eldis.org/document/A70574;http://www.oecd.org/env/cc/(2014)6%20Planting%20the%20Foundations.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.oecd.org%2Fenv%2Fcc%2F%282014%296%2520Planting%2520the%2520Foundations.pdf;;;;"Land issues;Source;Climate change;International climate change negotiations;CDKN;Agriculture and food;United Nations Framework Convention on Climate Change;Climate change mitigation;Climate and Development Knowledge Network;Funder;Bookmarklet"
eldis:A75267;The establishment of Korea land information system (KLIS);;"The Korea Land Information System (KLIS) aims to provide information necessary for land policy establishment promptly and accurately. This system manages accurate information on land use zoning designated by land use regulations and provides it to government agencies, local governments, and people. KLIS manages and provides specifically the land information database to prevent duplication of investment among agencies and to effectively manage the land by securing the compatibility of data sets.

There were many difficulties during the construction process of KLIS. The first of these difficulties was to produce a serial cadastral map with single cadastral maps, because of different scales of cadastral map in the characteristics of land parcels. Secondly, there was a discrepancy in each different zoning map. Thirdly, the flawed legal system for data sharing in land policies and lastly, the central government experienced conflicts to initiate the KLIS incorporation. In spite of these challenges, the Korean government was able to establish the KLIS.

The KLIS performed better than anticipated and its effects were both tangible and intangible. Enhanced public services through the Internet have been welcomed by the public, and are helping to save time and costs. ";"Jong Taek Park
Joungyoon Chun";;Korea Development Institute ;eldis;01/01/2014;en;land;;;KOR;;http://www.eldis.org/document/A75267;http://www.kdevelopedia.org/mnt/idas/asset/2014/05/13/DOC/PDF/04201405130131832072893.pdf;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.kdevelopedia.org%2Fmnt%2Fidas%2Fasset%2F2014%2F05%2F13%2FDOC%2FPDF%2F04201405130131832072893.pdf;;;;"OKHub partners;Land issues;Service;Governance;Agriculture and food;Source;K-Developedia;OKHub;Bookmarklet"
eldis:A26526;Taking the bull by the horns: NGOs and pastoralists in coalition;;Such is the vagary of rainfall throughout Africa's rangelands that almost all pastoral communities face cycles of good and hardship years. During good years herders increase and diversify their herds, whilst consecutive hardship years or `pastoral drought,' human and livestock disease, or livestock theft may result in large livestock losses and the consequent temporary collapse of household food production. Seldom, however, do environmental factors alone conspire to overwhelm the pastoral production of entire ethnic groups, since pastoralists have `drought responses,' including mobile and adaptive grazing strategies, livestock and cereal exchanges, the establishment of diverse herds, herd splitting, and non-pastoral activities (agriculture, wage labour etc.).Underpinning these systems is often a network of affinal and `stock-friendships,' in which each herding family is involved in the reciprocal giving and receiving of livestock. In these ways, pastoral households are able to minimise the impact of crisis years, rebuild and maintain viable herds.The article recommends:the documentation and explanation of customary land-rights, in particular with regard to womenthe registration of pastoral land-rightsthe summarisation of national statutory laws affecting pastoral land-tenurethe exploration of ways of reconciling and integrating customary and statutory tenurethe provision of legal aid to fight test cases and the support of legal aid camps or clinics in pastoral areasthe incorporation of legal themes into adult education and literacy programmes for pastoralists ;A. Cullis;;Pastoral Development Network, ODI;eldis;01/01/1992;en;pastoralists;"Rangelands, Drylands & Pastoralism;Land Stakeholders & Institutions";;202;;http://www.eldis.org/document/A26526;http://www.odi.org.uk/pdn/papers/paper33d.html;http://ims.ids.ac.uk/thumbnail/?url=http%3A%2F%2Fwww.odi.org.uk%2Fpdn%2Fpapers%2Fpaper33d.html;;;;"Agriculture and food;Africa South of Sahara;livestock;9 NGOs;Pastoralists;Animal production and health;pastoralism;EADI;Pastoralism land use conflict;Pastoralism"
