ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publication date;Languages;Related concepts;Themes;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages;Potential List;Internal ID;
"IDRC:10625/14948";"Brief consultancy report (Oct. 1, 1982 to Apr. 30, 1983)";"";"";"del Castillo, R.";"";"";"International Development Research Centre";"1983-12-31";"en";"land tenure;rural development";"Indigenous & Community Land Rights;Socio-Economic & Institutional Context";"PHL";"Reports & Research";"http://hdl.handle.net/10625/14948";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/14948/1/IDL-14948.pdf";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/14948/3/IDL-14948.pdf.jpg";"";"";"";"SOCIAL FORESTRY;FOREST RESOURCES;LAND TENURE;HILLS;PHILIPPINES;RURAL DEVELOPMENT;ENVIRONMENTAL MANAGEMENT;RESEARCH METHODS";""
"IDRC:10625/35195";"AHI program brief";"";"";"Stroud, Ann";"";"";"International Development Research Centre";"2003-12-31";"en";"farming systems;land degradation;land management;water management";"Land & Food Security;Land Stakeholders & Institutions;Land, Climate Change & Environment";"014";"Institutional & promotional materials";"http://hdl.handle.net/10625/35195";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/35195/1/127206.pdf";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/35195/3/127206.pdf.jpg";"";"";"";"HILLS;FARMING SYSTEMS;LAND DEGRADATION;LAND MANAGEMENT;SOIL MANAGEMENT;WATER MANAGEMENT;PARTICIPATORY RESEARCH;INNOVATION;AGRICULTURAL PRODUCTIVITY;EAST AFRICA";""
"IDRC:10625/55461";"Clamor for justice : sexual violence, armed conflict and violent land dispossession";"";"In this book research focuses on a comparative analysis of the collective strategies employed by indigenous and peasant women to gain access to justice for the sexual violence and other human rights violations they suffered in the context of armed conflict and transition in Colombia and Guatemala. It documents the brutal persistence, over six centuries, of the close links between the forced displacement of indigenous people within their own territories, indigenous peoples’ dispossession of their land, and the rape of indigenous women, analyzing two major episodes of sexual violence against Guatemalan women from the Q’eqchí people, and the women’s struggles to achieve justice.";"Méndez Gutiérrez, Luz
Carrera Guerra, Amanda";"";"";"International Development Research Centre";"2015-11-30";"en";"extractive industries;indigenous peoples;land rights";"Indigenous & Community Land Rights";"GTM";"Journal Articles & Books";"http://hdl.handle.net/10625/55461";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/55461/1/IDL-55461.pdf";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/55461/3/IDL-55461.pdf.jpg";"";"";"";"GUATEMALA;LAND RIGHTS;HUMAN RIGHTS VIOLATIONS;NEOLIBERALISM;SEXUAL VIOLENCE;ADMINISTRATION OF JUSTICE;IMPUNITY;INDIGENOUS PEOPLES;ARMED CONFLICT;LAND CONCENTRATION;EXTRACTIVE INDUSTRIES;NICKEL;RESOURCES EXPLOITATION;RAPE;INSTRUMENTALIZATION OF VIOLENCE";""
"IDRC:10625/52821";"Local solutions gain ground in East Africa";"";"In Uganda, Tanzania, and Kenya, a decentralized approach to land administration promises more accessible dispute resolution and a better deal for women. Among the challenges however, are old social attitudes that pre-empt discussion about women’s right to control land. In Lira district, for example, in-laws and land-grabbers routinely chase widows off land. A “viciously vibrant land market” often means that women are swindled in Bugunda district. Local courts are handicapped because they lack an adequate mandate and proper resources to be effective, but they are more accessible than higher-level ones. Awareness is changing and institutional reform coincides with a shift in attitudes.";"Dale, Stephen";"";"International Development Research Centre";"International Development Research Centre";"2011-12-31";"en";"gender equity;land reform;land tenure";"Indigenous & Community Land Rights;Land & Gender;Socio-Economic & Institutional Context";"014;202";"Reports & Research";"http://hdl.handle.net/10625/52821";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/52821/1/IDL-52821.pdf";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/52821/3/IDL-52821.pdf.jpg";"";"";"";"GENDER EQUITY;LAND TENURE;WOMEN'S PARTICIPATION;EAST AFRICA;SUB-SAHARAN AFRICA;LAND REFORM;WOMEN'S EMPOWERMENT;LEGAL STATUS";""
"IDRC:10625/47347";"Women, land and customary law";"";"The objective is to record current living customary law and ways in which it is moving in progressive directions so that this information can be used towards justice, as evidence in court cases, and in policy development and political engagement from local to national levels. The survey explored how women access land, their actual use of the different types of land, their decision making capacity in relation to the different categories of land (residential and agricultural), the extent of their security or vulnerability to eviction, as well as the impact of marital status on women’s land rights.";"Budlender, Debbie
Mgweba, Sibongile
Motsepe, Ketleetso
Williams, Leilanie";"";"";"International Development Research Centre";"2011-12-31";"en";"customary law;land reform;land tenure";"Indigenous & Community Land Rights;Socio-Economic & Institutional Context";"018;ZAF";"Reports & Research";"http://hdl.handle.net/10625/47347";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/47347/1/133695.pdf";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/47347/3/133695.pdf.jpg";"";"";"";"GENDER DISCRIMINATION;LAND TENURE;CUSTOMARY LAW;RURAL REHABILITATION;LAND REFORM;SOUTH AFRICA";""
"IDRC:10625/58674";"Using transformative scenario planning as a way to think differently about the future of land use in Bobirwa, Botswana";"";"Land use involves a diverse range of perspectives and cannot be resolved by any single stakeholder working alone. A process like Transformative Scenario Planning (TSP) can bring together conflicting opinions and help people to start thinking differently. This report summarises the main steps, processes and ideas involved in the TSP workshops in Botswana. It articulates the process of TSP, how it unfolds in a group setting and how it can be used to draw out questions and concerns. In this case, clarity about the nature of partnerships meant an overt acknowledgment by researchers of the traditionally unequal status of partners.";"Perez, Teresa
Molefe, Chanda
Masundire, Hillary";"";"";"International Development Research Centre";"2018-08-31";"en";"land grabbing;land use";"Land, Climate Change & Environment";"202;BWA";"Policy Papers & Briefs";"http://hdl.handle.net/10625/58674";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/58674/2/IDL%20-%2058674.pdf";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/58674/4/IDL%20-%2058674.pdf.jpg";"";"";"";"LAND USE;LAND GRABBING;LAND POLICY;KNOWLEDGE SHARING;SEMI-ARID REGIONS;RURAL COMMUNITIES;COMMUNICATION RESEARCH;BOTSWANA;SOUTH OF SAHARA";""
"IDRC:10625/47348";"Decentralised land administration and women's land rights in Uganda : an analysis of the legal regime, state institutional arrangements, and practice; research report";"";"Despite formal legal recognition of women’s land rights, no government institution is mandated to protect women’s land rights or to ensure their legal implementation and enforcement. The roles of decentralized land administration institutions do not include the protection of women’s land rights. More importantly, District Land Boards only control the allocation of public land and not private or customary. Several land dispute resolution institutions co-exist without clear coordination mechanisms. Granting legal recognition to all the different ‘marriage’ arrangements (civil marriage, polygamy, and consensual unions) existing in Uganda would help protect women who contest land ownership issues.";"Nakirunda, Maureen";"";"";"International Development Research Centre";"2011-12-31";"en";"land administration;land rights;land tenure;property rights";"Indigenous & Community Land Rights;Land Stakeholders & Institutions";"UGA";"Reports & Research";"http://hdl.handle.net/10625/47348";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/47348/1/133696.pdf";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/47348/3/133696.pdf.jpg";"";"";"";"UGANDA;WOMEN'S RIGHTS;LAND RIGHTS;DECENTRALISATION;GENDER;CITIZENSHIP;LAND TENURE;LEGISLATION;PROPERTY RIGHTS;GENDER DISCRIMINATION;MATRIMONIAL LAW;HARMFUL TRADITIONAL PRACTICES;LAND POLICY;OWNERSHIP;LAND ADMINISTRATION";""
"IDRC:10625/9675";"Resettlement schemes for agricultural development : the Leeward Islands of the Caribbean community";"";"";"Liverpool, N.J.O.
Emmanuel, P.
Barrow, Christine
Armstrong, Eric
Fiadjoe, A.K.";"";"International Development Research Centre";"International Development Research Centre";"1987-01-31";"en";"land ownership;land tenure";"Indigenous & Community Land Rights";"ATG;MSR";"Reports & Research";"http://hdl.handle.net/10625/9675";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/9675/1/IDL-9675.pdf";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/9675/3/IDL-9675.pdf.jpg";"";"";"";"LAND TENURE;LAND SETTLEMENT;AGRICULTURAL DEVELOPMENT;LEGISLATION;LAND OWNERSHIP;ANTIGUA AND BARBUDA;MONTSERRAT;LEGAL ASPECTS";""
"IDRC:10625/41528";"Collective titling and the process of institution building : common property regime in the Colombian Pacific";"";"";"Alejandra Velez, Maria";"";"";"International Development Research Centre";"2008-12-31";"en";"land tenure";"Indigenous & Community Land Rights";"COL";"Policy Papers & Briefs";"http://hdl.handle.net/10625/41528";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/41528/1/129289.pdf";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/41528/3/129289.pdf.jpg";"";"";"";"LAND TENURE;COMMUNAL LAND;COMMUNITY ORGANIZATION;RESOURCES MANAGEMENT;COLOMBIA";""
"IDRC:10625/22634";"Winds of change : improve Tunisian agriculture";"";"";"Thompson, A.";"";"International Development Research Centre";"International Development Research Centre";"1992-12-31";"en";"land management";"Land Stakeholders & Institutions";"TUN";"Journal Articles & Books";"http://hdl.handle.net/10625/22634";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/22634/1/108994.pdf";"https://idl-bnc-idrc.dspacedirect.org/bitstream/10625/22634/3/108994.pdf.jpg";"";"";"";"SHELTERBELTS;TREES;WIND;LAND MANAGEMENT;TUNISIA";""
