ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"LEX-FAOC047832";"Environment Act 2001.";"This Act makes provision for the establishment of the National Environment Council, the Lesotho Environment Authority, the National Environmental Fund and the Environmental Tribunal and provides in general for the conservation and management of the environment in Lesotho.The Act consists of 123 sections divided into 16 Parts: Preliminary (I); General Principles (II); Institutional Arrangements (III); Environmental Planning (IV); Environmental Impact Assessment, Audits and Monitoring (V); Environmental Quality Standards (VI); Pollution Control (VII); Environmental Management (VIII); Environmental Restoration Order (IX); Inspection, Analysis And Record (X); International Environmental Conventions (XI); Information, Education and Public Awareness (XII); Financial Provisions (XIII); Environmental Tribunal (XIV); Offences (XV) ; Miscellaneous (XVI).Section 3 sets out principles of environmental management. The National Environment Council established under section 5 as the supreme body at Government level for the formulation of policy for purposes of this Act. The supreme body in the formulation of policy for purposes of this Act, established under section 9, as a body corporate, shall be the principal agency for the management of the environment and carry out functions set out in section 10. The governing body of the Authority shall be a Board of Directors. There shall be a Chief Executive of the Authority who shall be appointed by the Minister (sect. 17). The Authority shall every five years prepare a National Environmental Action Plan in accordance with section 25. Environmental planning at district level shall be done by District Development Coordinating Committees in accordance with section 26. An environment impact assessment shall be undertaken on projects and activities specified in the Schedule to this Act (sect. 27). The Authority shall, in consultation with the relevant Ministry establish standards for the quality of water, the quality of air, the quality of soil, waste, noise, ionization and other radiation and guidelines for environmental disasters (Part VI). Part VIII on environmental management provides for a wide variety of matters such as identification and protection of hilly and mountainous areas, re-forestation and afforestation of hilly and mountainous areas, protection of rivers, river banks or wetlands etc., general and specific orders, for standards for the management of rivers, river banks, lakes, lake shore and wetlands, protection of forests, conservation of energy and planting of trees or woodlots, conservation of Biological Diversity and biological resources in situ and ex-situ, access to genetic resources of Lesotho, management of range lands, land use planning, protection of natural heritage sites, protection of natural environmental areas, protection of the ozone layer, management of dangerous materials and the management of (hazardous) waste. The Authority may issue to any person, in respect of a matter relating to the management of the environment and natural resources, an environmental restoration order pursuant to Part IX. Section 89 concerns the designation of environmental inspectors. The National Environment Fund is established under section 98. The fund shall be administered by the Authority and the object for which the Fund is established is the protection, enhancement and management of the environment and natural resources in Lesotho. Regulation making powers of the Minister are set out in section 122.

Repealed by: Environment Act 2008 (No. 10 of 2008). (2008)";".";"";"";"FAO Legal Office";"2001-01-01";"en";"land use planning;environment;fisheries;natural disasters;land management;land law;waste";"";"Land Policy & Legislation";"LSO;002;AFG;ARM;AZE;BDI;BFA;BOL;BTN;BWA;CAF;ETH;KAZ;KGZ;LAO;LSO;MDA;MKD;MLI;MNG;MWI;NER;NPL;PRY;RWA;SSD;SWZ;TCD;TJK;TKM;UGA;UZB;ZMB;ZWE;018";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC047832";"http://extwprlegs1.fao.org/docs/pdf/les47832.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"1"
"LEX-FAOC047831";"Environment Protection Act 2002 (No. 19 of 2002).";"The Act makes provision for the establishment, functions and powers, organization, etc. of the National Environment Commission, the Department of Environment and other public bodies involved in the administration of environmental affairs, for the pollution prevention measures and environmental impact assessment, the establishment of the Issue of standards and guidelines, the issue of environmental standards and guidelines, and for various other maters relating to environment protection.The Act consists of 100 sections divided into 13 Parts: Preliminary (I); Administration (II); Enforcing Agencies (III); Environmental Impact Assessment (IV); Spill and Environmental Emergency (V); National Environmental Standards (VI); Coastal and Maritime Zone Management (VII); The Environment Appeal Tribunal (VIII); The National Environment Fund (IX); Environment Protection Fee (X); Enforcement (XI); Application of Act to Rodrigues (XII); Miscellaneous Provisions (XIII).Section 4 sets out the geographical Application sphere of the Act. The National Environment Commission established under section 5 shall set national objectives and goals, and determine policies and priorities for the protection of the environment, having due regard to the recommendations of the Minister and monitor, coordinate and supervise environmental management at a national level in accordance with section 6. Powers of the Minister to whom responsibility for the subject of the environment is assigned are set out in section 7. The Department of Environment, established within the Ministry responsible for the environment, shall be administered by Director of Environment, the duties of which are set out in section 8. Section 9 provides for a Police de l'Environnement. There is established for the purposes of this Act a National Network for Sustainable Development under section 10. The objects of the National Network for Sustainable Development shall be to act as a forum for discussions and consultations on matters set out in section 11. There shall be such enforcing agencies as are designated in the Fourth Schedule in respect of such environmental medium, or such pollutant, as is specified (sect. 13). There shall be for the purposes of this Act an Environment Coordination Committee which shall ensure the maximum cooperation and coordination among enforcing agencies and other public departments dealing with environment protection, and carry out other duties listed in section 14. The First Schedule lists activities for which an Environmental Impact Assessment is required (sects. 15 to 18). An EIA Committee is established under section 22. Subject to section 37, the Minister may, for the protection and management of the environment, issue guidelines published in the Gazette on any of the environment segments listed in that section. Detailed rules for such standards and guidelines are set out in sections 38-48. An Integrated Coastal Zone Management Committee is established under section 50. The Committee shall develop an integrated management plan for coastal and maritime zones and carry out other duties listed in section 50. An Environment Appeal Tribunal is established under section 53. The Tribunal shall hear and determine appeals in matters listed in section 54. The National Environment Fund, established under section 59 shall pursue the objectives set out in section 60. The Fund shall be administered by a Board. Director of Environment may take various enforcement measures, mainly in the form of issuing notices and orders, pursuant to provisions of Part XI. The Minister may, after consultation with the Committee, cause to be published in the Gazette codes of practice for the purpose of providing practical guidance with respect to appropriate pollution control technology, and generally with respect to the protection of the environment under section 95 and make Regulations under section 96.

Implemented by: Effluent Discharge Permit Regulations 2003. (2004-03-24)
Implemented by: Environment Protection (Standards of Effluent for Use in Irrigation) Regulations 2003 (G.N. No. 46 of 2003). (2003-02-05)
Implemented by: Environment Protection (Standards for effluent discharge into the ocean) Regulations 2003 (G.N. No. 45 of 2003). (2003-02-05)
Implemented by: Environment Protection (Standards for effluent discharge) Regulations 2003 (G.N. No. 44 of 2003). (2003-02-05)
Implemented by: Environment Protection (Environmental Standards for Noise) (Amendment) Regulations 2003 (G.N. No. 115 of 2003). (2003-07-28)
Implemented by: Environment Protection (Collection, Storage, Treatment, Use and Disposal of Used Oil) Regulations 2005 (G.N. No. 4 of 2005). (2004-12-28)
Implemented by: Environment Protection (Declaration of Environmental Laws) Regulations 2005 (G.N. No. 57 of 2005). (2005-04-13)
Implemented by: Environment Protection (Collection, Storage, Treatment, Use and Disposal of Waste Oil) Regulations 2006 (G.N. No. 208 of 2006). (2006-10-13)
Implemented by: Environment Protection (Affixing of Posters) Regulations 2008 (GN No. 182 of 2008). (2008-08-29)
Implemented by: Environment Protection (Control of Noise) Regulations 2008 (GN No. 114 of 2008). (2008-07-15)
Implemented by: Environment Protection (Banning of Plastic Banners) Regulations 2008 (GN No. 113 of 2008). (2008-07-09)
Implemented by: Environment Protection Fee Regulations. (2008)
Implemented by: Environment Protection (Industrial Waste Audit) Regulations 2008 (GN No. 255 of 2008). (2008)
Implemented by: Environment Protection (Designated National Authority) Regulations 2010 (G.N. No. 74 of 2010). (2010-03-04)
Implemented by: Environment Protection (Applications for PER Approval and EIA Licence)(Processing Fees) Regulations 2011 (GN No. 143 of 2011). (2011-07-06)
Amended by: Environment Protection (Amendment of Schedule) Regulations 2006 (GN No. 142 of 2006). (2006-09-26)
Amended by: Environment Protection (Amendment) Act 2008 (No. 6 of 2008). (2008-05-08)
Amended by: Environment Protection (Amendment of Schedule) Regulations 2008 (GN No. 57 of 2008). (2008-04-01)
Amended by: Environment Protection (Amendment of Schedule) Regulations 2009 (GN No. 18 of 2009). (2009-02-04)
Amended by: Environment Protection (Amendment of Schedule) (No. 3) Regulations 2009 (GN No. 96 of 2009). (2009-08-11)
Amended by: Environment Protection (Amendment of Schedule) (No. 2) Regulations 2009 (GN No. 78 of 2009). (2009-07-07)
Amended by: Environment Protection (Amendment of Schedule) Regulations 2010 (GN No. 73 of 2010). (2010-03-22)
Amended by: Maritime Zones Act 2005 (Act No. 2 of 2005). (2005-02-28)
Amends: Rivers and Canals Act. (1992)
Amends: Territorial Sea Act, 1970. (1970-04-16)
Repeals: Environment Protection Act. (2001-06)";"Judicial Dept";"";"";"FAO Legal Office";"2002-07-11";"en";"land use planning;coastal area;environment;fisheries;natural disasters;land management;land law;waste";"";"Land Policy & Legislation";"MUS;002;014;ABW;AIA;ASM;ATG;BHR;BHS;BLZ;BRB;COK;COM;CPV;CUB;CUW;DMA;DOM;FJI;FSM;GNB;GRD;GUM;GUY;HTI;JAM;KIR;KNA;LCA;MDV;MHL;MNP;MSR;NCL;NIU;NRU;PLW;PNG;PRI;PYF;SGP;SLB;STP;SUR;SXM;SYC;TLS;TON;TTO;TUV;VCT;VGB;VIR;VUT;WSM";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC047831";"http://extwprlegs1.fao.org/docs/pdf/mat47831.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC107165";"Regional Regulation of the Province of Jakarta Capital Special Region No. 18/2010 regarding land and building title acquisition fee.";"This Regulation provides for land and building title acquisition fees to enhance financial capability and independence of regions in financing the development and implementation of public administration in regions.The Regulation rules object and subject of tax, basis for imposition and procedures for collecting tax, calculation method of tax, and provision on tax period and moment and place where tax becomes due.
";"pusara";"";"";"FAO Legal Office";"2010-12-28";"en";"land valuation";"";"Land Policy & Legislation";"IDN;142;035";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC107165";"http://extwprlegs1.fao.org/docs/pdf/ins107165.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC101061";"Foreshore and Seabed (Reclamations) Ordinance (Chapter 127).";"This Ordinance provides for the control of reclamation and use of the foreshore and seabed.Where a reclamation is proposed, the Director of Land shall prepare and publish a plan delineating and describing the proposed reclamation and the foreshore and seabed to be affected as provided for in the text.The Ordinance provides for: objections to the proposed reclamation; claims for compensation; payment of claims and interests; etc.
";"simone";"";"";"FAO Legal Office";"1985-08-09";"en";"land use planning;compensation;land management;coastal area;expropriation";"";"Land Policy & Legislation";"CHN;142;030";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC101061";"http://extwprlegs1.fao.org/docs/pdf/hk101061.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"9"
"LEX-FAOC047834";"Environmental Management Act [Chapter 20:27].";"This Act provides for the establishment of the National Environmental Council, the Environmental Management Agency, Environment Management Board, the Standards and Enforcement Committee and the Environment Fund, provides for the formulation of environmental quality standards and environmental plans, provides for environmental impact assessments audit and monitoring of projects and for other matters relative to management and conservation of the environment.The Act consists of 143 sections divided into 16 Parts: Preliminary (I); General Principles of Environmental Management and Functions of Minister (II); National Environmental Council (III); Environmental Management Agency (IV); Environment Management Board (V); Staff of Agency (VI); Financial Provisions Relating to Agency (VII); Environment Fund (VIII); Environmental Quality Standards (IX); Environmental Plans (X); Environmental Impact Assessments Audit and Monitoring of Projects (XI); Conservation and Improvement of Environment (XII); Conservation and Improvement of Environment (XIII); Appeals (XIV); Internal Obligations and Commitments (XV); General (XVI). The Act is completed by six Schedules.Section 4 outlines environmental rights and principles of environmental management. Section 5 defines the general functions of the Minister of Environment and Tourism. The Minister may delegate to the Environmental Management Agency, established under section 9, or the National Environment Council, established under section 7, such of his functions under this Act as he thinks fit. The Council shall advise on policy formulation and give directions on the implementation of this Act and carry out other functions outlined in section 8. The Agency shall be a body corporate and be responsible for the formulation of quality standards on air, water, soil, noise, vibration, radiation and waste management, for the regulation and monitoring of the collection, disposal, treatment and recycling of waste and the discharge or emission of any pollutant or hazardous substance into the environment, and shall carry out other functions listed in section 10. The Environment Management Board, established under section 11, shall manage and control the operations of the Agency. The management and control of the Environment Fund, established under section 48, shall he vested, subject to this Act, in the Minister as trustee of the Fund. The Minister, in consultation with the Board and with the approval of the Minister responsible for finance, may by notice in a statutory instrument, impose an environment levy on any person or class of persons whose activities impact on the environment (sect. 50). Objects of Fund are set out in section 52. A Standards and Enforcement Committee is established as a committee of the Board (sect. 55). The Standards and Enforcement Committee shall, in consultation with the Agency, advise the Board on water quality standards in accordance with section 56. Section 57 introduces a general prohibition to pollute water. The Board shall maintain a register of all effluent discharge licences issued under this Act (sect. 62). The Committee shall also prescribe standards for air quality, waste, hazardous waste, pesticides and toxic substances, noise, and noxious smells. Every pesticides or toxic substance shall be registered under section 76. The Minister shall prepare a National Environmental Plan (sect. 87). Contents of the Plan are outlined in section 88. Every local authority shall prepare an environmental action plan for the area under its jurisdiction in accordance with such directions as the Minister may give (sect. 95). Projects listed in the First Schedule are activities for which environmental impact assessment required (sect. 97). Contents of environmental impact assessment report are outlined in section 99. The President may set aside State land or acquire other land for environmental purposes pursuant to section 109. The Minister may declare any wetland to be an ecologically sensitive area and may impose limitations on development in or around such area (sect. 113) and may make an order for protection of environment pursuant to section 114. An Inspector may also make an order pursuant to section 115. The Minister shall take such measures as may be necessary for the conservation of biological diversity and the implementation of Zimbabwe’s obligations under the Convention on Biological Diversity of 1992 (sect. 116) and, on the recommendations of the Agency, may, by regulations, control or restrict access by any person to the biological and genetic resources of Zimbabwe (sect. 117).

Amends: Water Act (Cap. 20:24). (2002)
Amends: Forest Act [Chapter 19:05]. (2002)
Amends: Agricultural Land Settlement Act [Chapter 20:01]. (2002)
Amends: Communal Land Act [Chapter 20:04]. (2002)
Amends: Parks and Wild Life Act [Chapter 20:14]. (2002)
Amends: Rural Land Act [Chapter 20:18]. (2002)
Repeals: Atmospheric Pollution Prevention Act [Chapter 20:03]. (2001)
Repeals: Noxious Weeds Act. (1996)
Repeals: Hazardous Substances and Articles Act [Chapter 15:05]. (2001)
Repeals: Natural Resources Act. (1996)";"sinentokozo";"";"Government of Zimbabwe";"FAO Legal Office";"2002-01-01";"en";"expropriation;land use planning;land registration;environment;fisheries;natural disasters;land management;land law;waste";"";"Land Policy & Legislation";"ZWE;002;014;AFG;ARM;AZE;BDI;BFA;BOL;BTN;BWA;CAF;ETH;KAZ;KGZ;LAO;LSO;MDA;MKD;MLI;MNG;MWI;NER;NPL;PRY;RWA;SSD;SWZ;TCD;TJK;TKM;UGA;UZB;ZMB;ZWE";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC047834";"http://extwprlegs1.fao.org/docs/pdf/zim47834.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC123205";"Regional Law No. 13-OZ “On reservation of land for public needs”.";"This Regional Law establishes that the decision for land reservation for public needs shall be taken by the Regional Government and must contain the following: (a) data on location, dimensions, category, authorized uses, time period and purpose of land reservation and use restrictions imposed in relation to land reservation; and (b) other provisions established by legislation.
";"Vsevolod Gnetii (CONSLEGB)";"";"Government of Russia";"FAO Legal Office";"2008-04-24";"ru";"use rights;public ownership";"";"Land Policy & Legislation";"RUS;ARM;BLR;KAZ;KGZ;MDA;RUS;TJK;TKM;UKR;UZB;151;150";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC123205";"http://extwprlegs1.fao.org/docs/pdf/rus123205.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"1"
"LEX-FAOC123204";"Regional Law No. 26-OZn “On lease of public land”.";"This Regional Law establishes that determination of lease payments, terms and conditions of payment for lease of public land shall be set forth by the Regional Government.

Repealed by: Regional Law No. 10-OZ “On lease payments for public plots of land and plots of land with undelimited ownership allotted on lease without tenders. (2015-03-02)";"Vsevolod Gnetii (CONSLEGB)";"";"Government of Russia";"FAO Legal Office";"2008-05-06";"ru";"leases;public ownership";"";"Land Policy & Legislation";"RUS;ARM;BLR;KAZ;KGZ;MDA;RUS;TJK;TKM;UKR;UZB;151;150";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC123204";"http://extwprlegs1.fao.org/docs/pdf/rus123204.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"2"
"LEX-FAOC152762";"Regional Law No. 1929-ZRK “On establishment of purchase price of plots of land within urban areas destined for agricultural production.";"This Regional Law establishes that the prices of plots of urban land destined for agricultural production in ownership by agricultural organizations or peasant farms allotted thereto on condition of permanent (open-ended) land tenure or as life-long hereditary possession shall be established with 15 percent reduction in relation to its cadastre value.
";"Vsevolod Gnetii (LEGN)";"";"Government of Russia";"FAO Legal Office";"2015-09-30";"ru";"farmland;land;public ownership;land registration;property rights;cadastres;private ownership;urban areas;land ownership";"";"Land Policy & Legislation";"RUS;ARM;BLR;KAZ;KGZ;MDA;RUS;TJK;TKM;UKR;UZB;151;150";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC152762";"http://extwprlegs1.fao.org/docs/pdf/rus152762.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC152763";"Política Nacional de la Mujer: Primer Plan Nacional de Igualdad de Oportunidades, 2002-2007.";"El presente documento tiene por objeto la Política Nacional de la Mujer y el Primer Plan Nacional de Igualdad de Oportunidades, de alcance nacional y relativo al período 2002-2007. El objetivo general es garantizar los derechos de las mujeres hondureñas y luchar contra la pobreza de las mismas. El Plan Nacional define los siguientes cinco ejes prioritarios: 1) Salud; 2) Educación y Medios de Comunicación; 3) Participación Social y Política; 4) Economía y Pobreza; 5) Violencia.El Plan prevé acciones para fortalecer las estrategias del Programa Nacional de Desarrollo Rural Sostenible para promover la seguridad alimentaria. El Capítulo 1 del Plan, dedicado a la salud, establece como lineamiento de política formular planes y programas de salud con enfoque de género, para promover un estado de salud óptimo en las mujeres, a lo largo de su ciclo de vida.El Plan brinda especial atención a las mujeres de las áreas rurales y otras zonas postergadas del país. En este sentido el lineamiento de política definido en el Capítulo 3 (Economía y Pobreza) contempla realizar acciones que permitan el ejercicio de los derechos económicos de la mujer y la reducción de los índices de pobreza desde una perspectiva de igualdad de oportunidades entre géneros. Asimismo se contempla ejecutar programas y proyectos de formación, para fortalecer las capacidades productivas y gerenciales de las mujeres como sujetos económicos, en rubros tradicionales y no tradicionales.Otra de las acciones contempladas en el Capítulo 3 consiste en desarrollar programas y proyectos que fomenten la participación de las mujeres, como propietarias de los medios de producción, en sectores dinámicos de la economía, incluyendo rubros de exportación. Asimismo, con respecto a la tierra y los recursos productivos, se prevé: a) revisar y aplicar la legislación agrícola, forestal, ambiental y otras leyes vigentes, para garantizar la equidad de género en el acceso, uso y control de los recursos productivos; b) identificar fondos de tierra para mujeres campesinas de acuerdo a la demanda, otorgando prioridad a jefas de familia que viven en condiciones de pobreza; c) promover programas y proyectos productivos, y de protección al medio ambiente, con participación equitativa de mujeres y hombres; d) agilizar el funcionamiento de las cajas de ahorro y crédito y flexibilizar los requerimientos de créditos para capital semilla, contemplados en la Ley para la Modernización y Desarrollo del Sector Agrícola.En el marco de la gobernanza, se contempla promover la elaboración de una propuesta conjunta entre el gobierno, organizaciones de mujeres y mujeres empresarias, para impulsar su participación en el proceso de integración económica.

Implementa: Decreto Nº 34/00 - Ley de Igualdad de Oportunidades para la Mujer. (2000-04-28)
Implementa: Poverty Reduction Strategy Paper (2001-2015). (2001)
Implementa: Decreto Nº 31/92 - Ley para la modernización y el desarrollo del sector agrícola. (1992-03-19)";"INAM";"";"";"FAO Legal Office";"2002-01-01";"es";"land tenure;food security;poverty;gender equity in access to land;indigenous peoples";"";"Land Policy & Legislation";"HND;019;013";"National Policies";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC152763";"http://extwprlegs1.fao.org/docs/pdf/hon152763.pdf";"";"All rights reserved";"© FAO. Para garantizar la amplia difusión de su información, la FAO se ha comprometido a poner libremente a disposición de los interesados este contenido y alienta el uso, la reproducción y la difusión de los textos, productos multimedia y datos presentados. Salvo que se indique lo contrario, el contenido se puede copiar, imprimir y descargar con fines de estudio privado, investigación y docencia, y para uso en productos o servicios no comerciales, siempre que se reconozca de forma adecuada a la FAO como fuente y titular de los derechos de autor  y que no se indique o que ello implique en modo alguno que la FAO aprueba los puntos de vista, productos o servicios de los usuarios.";""
"LEX-FAOC152779";"Planning (Wales) Act 2015 (2015 anaw 4).";"This Act concerns development planning in Wales. It makes provision about sustainable development in the exercise of functions relating to development planning and applications for planning permission. The Act, among other things: provides for the preparation and revision of a National Development Framework for Wales and for the designation of strategic planning areas, the establishment of strategic planning panels and the preparation of strategic development plans; require applications for planning permission for development of national significance in Wales to be made to the Welsh Ministers instead of a local planning authority; provide with respect to consultations on development; make amendments to other legislation including the Water Resources Act 1991 and the Environment Act 1995. The Welsh Ministers may by Regulations— (a) designate an area in Wales as a strategic planning area for the purposes of this Part, and (b) establish a strategic planning panel for that area. The Act also concerns certain matters concerning village greens (common property).

Amends: Wildlife and Countryside Act 1981 (Chapter 69). (1981-10-30)
Amends: Town and Country Planning Act 1990 (1990 Chapter 8). (1990-05-24)
Amends: Water Resources Act 1991 (Chapter 57). (1991-07-25)
Amends: Environment Act 1995 (Chapter 25). (1995-07-19)
Amends: Countryside and Rights of Way Act 2000 (2000 Chapter 37). (2000-11-30)
Amends: Planning and Compulsory Purchase Act 2004 (2004, Chapter 5). (2004-05-13)
Amends: Natural Environment and Rural Communities Act 2006 (2006 Chapter 16). (2006-03-30)
Amends: Planning and Energy Act 2008 (2008 Cap. 21). (2008-11-13)
Amends: Marine and Coastal Access Act 2009 (Cap. 23). (2009-12-11)
Amends: Planning (Hazardous Substances) Act 1990 (c. 10). (1990-05-24)
Amends: Commons Act 2006 (Chapter 26). (2006-07-19)";"";"";"Government of the United Kingdom";"FAO Legal Office";"2015-07-06";"en";"land use planning;common property;environment;sustainable development";"";"Land Policy & Legislation";"GBR;150;AUT;BEL;BGR;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;MLT;NLD;POL;PRT;ROU;SVK;SVN;SWE;154";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC152779";"http://extwprlegs1.fao.org/docs/pdf/uk152779.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
