ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"LEX-FAOC019769";"Décret nº 2000-167 fixant les procédures et modalités de régularisation et d'apurement des situations foncières des constructions, ouvrages et implantations établis d'une façon illégale sur le domaine public maritime ou sur des parties de ce domaine à la date de publication de la loi nº 95-72, portant création de l'agence de protection et d'aménagement du littoral.";"Ce décret fixe les procédures et modalités de régularisation et d'apurement des situations foncières des constructions, ouvrages et implantations établis d'une façon illégale sur le domaine public maritime ou sur des parties de ce domaine à la date de publication de la loi nº 95-72, portant création de l'agence de protection et d'aménagement du littoral.

Met en oeuvre: Loi nº 95-73 relative au domaine public maritime. (1995-07-24)";"";"";"";"FAO Legal Office";"2000-01-24";"fr";"coastal area;land management;public ownership";"";"Land Policy & Legislation";"TUN;002;015";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC019769";"http://extwprlegs1.fao.org/docs/pdf/tun19769.pdf";"";"All rights reserved";"© FAO. Afin d’assurer une large diffusion de ses informations, la FAO s’attache à donner libre accès à ce contenu et encourage l’utilisation, la reproduction et la diffusion des données, des informations textuelles et des supports multimédia présentés. Sauf indication contraire, le contenu peut être reproduit, imprimé et téléchargé aux fins d’étude privée, de recherches ou d’enseignement ainsi que pour utilisation dans des produits ou services non commerciaux, sous réserve que la FAO soit correctement mentionnée comme source et comme titulaire du droit d’auteur et à condition qu’il ne soit ni déclaré ni sous-entendu en aucune manière que la FAO approuverait les opinions, produits ou services des utilisateurs.";""
"LEX-FAOC069349";"Resolución Nº 010/07/AG - Modifica los procedimientos administrativos del Proyecto Especial Titulación de Tierras y Catastro Rural (PETT).";"La presente Resolución modifica el texto único de procedimientos administrativos (TUPA) del Proyecto Especial Titulación de Tierras y Catastro Rural (PETT), en lo relacionado con los pedidos directos de información.

Enmienda: Decreto Supremo Nº 010/06/AG - Procedimientos administrativos del Proyecto Especial Titulación de Tierras y Catastro Rural (PETT). (2006-02-23)";"";"";"Government of Peru";"FAO Legal Office";"2007-01-10";"es";"cadastres;land registration;land tenure";"";"Land Policy & Legislation";"PER;019;005";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC069349";"http://extwprlegs1.fao.org/docs/pdf/per69349.pdf";"";"All rights reserved";"© FAO. Para garantizar la amplia difusión de su información, la FAO se ha comprometido a poner libremente a disposición de los interesados este contenido y alienta el uso, la reproducción y la difusión de los textos, productos multimedia y datos presentados. Salvo que se indique lo contrario, el contenido se puede copiar, imprimir y descargar con fines de estudio privado, investigación y docencia, y para uso en productos o servicios no comerciales, siempre que se reconozca de forma adecuada a la FAO como fuente y titular de los derechos de autor  y que no se indique o que ello implique en modo alguno que la FAO aprueba los puntos de vista, productos o servicios de los usuarios.";""
"LEX-FAOC088817";"Ley Nº 8.710 - Modifica la Ley Nº 5.695, que crea el Registro Nacional y la Ley Nº 6.545, Ley del catastro nacional.";"La presente Ley modifica la Ley que crea el Registro Nacional y la Ley del catastro nacional, en aspectos relacionados con la creación del Registro Inmobiliario.

Implementado por: Decreto Nº 35.509/J - Reglamento de organización del Registro Inmobiliario. (2009-09-30)
Enmienda: Ley Nº 5.695 - Crea el Registro Nacional. (1999-09-13)
Enmienda: Ley Nº 6.545 - Ley del catastro nacional. (1981-03-25)";"";"";"Government of Costa Rica";"FAO Legal Office";"2009-02-03";"es";"cadastres;land ownership;land registration";"";"Land Policy & Legislation";"CRI;019;013";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC088817";"http://extwprlegs1.fao.org/docs/pdf/cos88817.pdf";"";"All rights reserved";"© FAO. Para garantizar la amplia difusión de su información, la FAO se ha comprometido a poner libremente a disposición de los interesados este contenido y alienta el uso, la reproducción y la difusión de los textos, productos multimedia y datos presentados. Salvo que se indique lo contrario, el contenido se puede copiar, imprimir y descargar con fines de estudio privado, investigación y docencia, y para uso en productos o servicios no comerciales, siempre que se reconozca de forma adecuada a la FAO como fuente y titular de los derechos de autor  y que no se indique o que ello implique en modo alguno que la FAO aprueba los puntos de vista, productos o servicios de los usuarios.";""
"LEX-FAOC102644";"Regional Government Administration Act (No. 542 of 2005).";"This Law establishes the creation and management of five regional governmental administration bodies (State Administration North Jutland; State Administration Mid-Jutland; State Administration of Southern Denmark; State Administration Sealand; and State Administration for Greater Copenhagen), each of these being headed by a Director who holds responsibility for public administration in accordance with Interior and Health Minister's activities.This Law consits of 5 Chapters: Establishment, management, etc. (1); Tasks (2); Entry into force and transitional provisions (3); Amendment of various laws (4); Territorial scope (5).

Amends: Act relative to agricultural properties (Act No. 435 of 2004). (2004-06-09)";"ScottC";"";"Government of Denmark";"FAO Legal Office";"2005-06-24";"da";"land use planning;farmland";"";"Land Policy & Legislation";"DNK;150;AUT;BEL;BGR;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;MLT;NLD;POL;PRT;ROU;SVK;SVN;SWE;154";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC102644";"http://extwprlegs1.fao.org/docs/pdf/den102644.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"11"
"LEX-FAOC036599";"Land Surveyors Act, 1996 (Act No. 33 of 1996).";"A Land Survey Board is established under section 3. The Board shall be chaired by a Director of Surveys, the duties and functions of which are set out in section 11.Responsibilities of the Board are set out in section 5. The Director of Surveys shall be the custodian of the Survey Register in which surveys shall be entered (sect. 14). Other provisions of this Act concern qualification and registration of land surveyors and the practising of their profession. Trinidad and Tobago Land Surveyors are surveyors qualified to carry out cadastral surveys and who is registered and licensed in accordance with section 17. Duties of such surveyors are set out in section 22. A Land Surveyors Disciplinary Committee is established under section 36.

Implemented by: Land Surveyors Regulations, 1998 (L.N. No. 275 of 1998). (1999-11-02)";"";"";"";"FAO Legal Office";"1996-11-19";"en";"surveyors;cadastres;land registration";"";"Land Policy & Legislation";"TTO;019;029;ABW;AIA;ASM;ATG;BHR;BHS;BLZ;BRB;COK;COM;CPV;CUB;CUW;DMA;DOM;FJI;FSM;GNB;GRD;GUM;GUY;HTI;JAM;KIR;KNA;LCA;MDV;MHL;MNP;MSR;NCL;NIU;NRU;PLW;PNG;PRI;PYF;SGP;SLB;STP;SUR;SXM;SYC;TLS;TON;TTO;TUV;VCT;VGB;VIR;VUT;WSM";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC036599";"http://extwprlegs1.fao.org/docs/pdf/tri36599.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC094266";"Land (Duties and Taxes) (Amendment of Schedule) Regulations 2009 (GN No. 125 of 2009).";"These Regulations amend the Land (Duties and Taxes) Act in the Eight Schedule made under section 45A (3). This provision prescribes that a deed of transfer referred to in the Eighth Schedule shall be exempt from duty or taxes leviable under the appropriate Part or Parts specified in that Schedule.

Amends: Land (Duties and Taxes) Act 1984. (2007-08-22)";"Hupperts, Rudolph (CONSLEGB)";"";"Government of Mauritius";"FAO Legal Office";"2009-10-14";"en";"";"";"Land Policy & Legislation";"MUS;002;014;ABW;AIA;ASM;ATG;BHR;BHS;BLZ;BRB;COK;COM;CPV;CUB;CUW;DMA;DOM;FJI;FSM;GNB;GRD;GUM;GUY;HTI;JAM;KIR;KNA;LCA;MDV;MHL;MNP;MSR;NCL;NIU;NRU;PLW;PNG;PRI;PYF;SGP;SLB;STP;SUR;SXM;SYC;TLS;TON;TTO;TUV;VCT;VGB;VIR;VUT;WSM";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC094266";"http://extwprlegs1.fao.org/docs/pdf/mat94266.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"1"
"LEX-FAOC028909";"Pasture Lands (Reservation and Development) Act (No. 4 of 1983).";"This Act is to provide for the reservation of certain State lands as pasture land. The Minister may by Order published in the Gazette declare any State land to be reserved as pasture land (sect. 2). There are provisions regarding the power of entry and inspection of the Land Commissioner (sect. 7) and offences and penalties under this Act (sect. 9). The Land Commissioner may lease pasture land to persons engaged in the business of livestock breeding and to those who have the capacity to manage and develop such pasture land (sect. 3).
";"LEG Database Workgroup";"";"";"FAO Legal Office";"1983-01-27";"en";"pastoralists;farmland;land reform;land tenure";"";"Land Policy & Legislation";"LKA;142;034";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC028909";"http://extwprlegs1.fao.org/docs/pdf/srl28909.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"1"
"LEX-FAOC097487";"Arrêté ministériel instaurant un régime de paiement unique et établissant certains régimes d'aide pour agriculteurs.";"Le présent arrêté ministériel instaure un régime de paiement unique établissant certains régimes d'aide pour agriculteurs e porte application de la conditionnalité pour ce qui concerne la mise en oeuvre des compétences partagées en vue d'une identification commune d'agriculteurs, d'exploitations et de terres agricoles dans le cadre de la politique relative aux engrais et de la politique de l'agriculture. L’article 3 établit que les parcelles sur lesquelles les mesures agri-environnementales, visées à l'annexe Ire, sont demandées, doivent être déclarées séparément dans la demande unique. Le texte comprend 6 articles et 2 annexes comme suit: Mesures agri-environnementales pour lesquelles une demande unique sert de notification pour des parcelles et de demande de paiement telle que visée à l'article 3 (Ier); Formulaire modèle de la Demande unique 2009 telle que visée à l'article 4, § 1er (II).
";"defranchis";"";"Government of Belgium";"FAO Legal Office";"2009-08-19";"fr";"farmland";"";"Land Policy & Legislation";"BEL;150;AUT;BEL;BGR;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;MLT;NLD;POL;PRT;ROU;SVK;SVN;SWE;155";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC097487";"http://extwprlegs1.fao.org/docs/pdf/bel97487.doc";"";"All rights reserved";"© FAO. Afin d’assurer une large diffusion de ses informations, la FAO s’attache à donner libre accès à ce contenu et encourage l’utilisation, la reproduction et la diffusion des données, des informations textuelles et des supports multimédia présentés. Sauf indication contraire, le contenu peut être reproduit, imprimé et téléchargé aux fins d’étude privée, de recherches ou d’enseignement ainsi que pour utilisation dans des produits ou services non commerciaux, sous réserve que la FAO soit correctement mentionnée comme source et comme titulaire du droit d’auteur et à condition qu’il ne soit ni déclaré ni sous-entendu en aucune manière que la FAO approuverait les opinions, produits ou services des utilisateurs.";"8"
"LEX-FAOC156094";"Fish and Game Code - Chapter 4 of Division 2; Department of Fish and Wildlife - Wildlife Conservation Law of 1947 (secs. 1300 - 1375).";"This Chapter of Division 2 of the Fish and Game Code of California, known as the Wildlife Conservation Law of 1947, establishes the Wildlife Conservation Board and a single and coordinated program for the acquisition of lands and facilities suitable for recreational purposes, and adaptable for conservation, propagation, and utilization of the fish and game resources of the State. The Chapter sets out conditions and procedures for land acquisition for wildlife purposes. The Board shall investigate, study, and determine what areas within the state are most essential and suitable for wildlife production and preservation, and will provide suitable recreation; and shall ascertain and determine what lands within the state are suitable for game propagation, game refuges, bird refuges, waterfowl refuges, game farms, fish hatcheries, game management areas, and what streams and lakes are suitable for, or can be made suitable for, fishing and hunting. The Board shall authorize the acquisition of real property, rights in real property, water, or water rights as may be necessary to carry out the purposes of this Chapter. No farm lands may be acquired in eminent domain except by specific authorization of the Legislature.
";"Hupperts, Rudolph (LEGN)";"";"Government of the United States of America";"FAO Legal Office";"1957-01-01";"en";"fisheries;protected areas;expropriation";"";"Land Policy & Legislation";"USA;019;021";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC156094";"http://extwprlegs1.fao.org/docs/pdf/us156094.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC018418";"Land Planning Act.";"The continuity of the law relating to the planning of the development and use of land is not affected by the repeal of the Development and Use of Land (Planning) Regulations, 1961, and their enactment as part of this Act, and accordingly (a) as the areas specified under regulation 2 of those Regulations as the areas to which the Regulations apply shall be areas to which the Regulations (as re-enacted in this Act) apply; and (b) any matter or thing which immediately before the commencement of this Act is pending under those Regulations shall upon such commencement be deemed to be pending under this Act and may be proceeded or dealt with accordingly. A Central Authority is established under section 9A.

Amends: Development and Use of Land (Planning) Regulations, 1961. (1967)
Repealed by: Physical Planning Act, 1996 (Cap. 286). (2012-12-31)";"LEG Database Workgroup";"";"";"FAO Legal Office";"1968-08-28";"en";"land use planning";"";"Land Policy & Legislation";"KEN;002;014";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC018418";"http://extwprlegs1.fao.org/docs/pdf/ken18418.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"1"
