ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages
"LEX-FAOC022965";"Resolution of the Council of Ministers No. 69/99 approving the National Policy to Combat Desertification (PANCD).";"This Resolution of the Council of Ministers approves the National Policy to Combat Desertification (PANCD - U.N. Convention to Combat Desertification) and establishes procedures for its enforcement. The aim of this Resolution is to regulate, promote, enforce and manage actions to combat desertification in order to minimise drought effects within semi-arid and sub-humid areas, in particular those areas where soil erosion (environmental and natural resources destruction) is a well known problem.

Repealed by: Resolution of the Council of Ministers No. 78/2014 approving the New National Policy to Combat Desertification (PANCD). (2014-12-11)";"LEG Database Workgroup";"";"";"FAO Legal Office";"1999-06-17";"pt";"desertification;land management";"";"Land Policy & Legislation";"PRT;150;AUT;BEL;BGR;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;MLT;NLD;POL;PRT;ROU;SVK;SVN;SWE;039";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC022965";"http://extwprlegs1.fao.org/docs/pdf/por22965.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"1"
"LEX-FAOC089860";"Planning (Listed Buildings and Conservation Areas) (Amendment) (England) Regulations 2009 (S.I. No. 2262 of 2009).";"This Order amends the Planning (Listed Buildings and Conservation Areas) Regulations 1990 in relation with form and a design and access statement with an application for listed building or conservation area consent.

Amends: Planning (Listed Buildings and Conservation Areas) Regulations 1990 (S.I. No. 1519 of 1990). (1990-07-20)";"";"";"Government of the United Kingdom";"FAO Legal Office";"2009-09-01";"en";"land use planning;protected areas";"";"Land Policy & Legislation";"GBR;150;AUT;BEL;BGR;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;MLT;NLD;POL;PRT;ROU;SVK;SVN;SWE;154";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC089860";"http://extwprlegs1.fao.org/docs/pdf/uk89860.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC104140";"Ministerial Decree No. 295 regarding some arrangements for implementation of Law No. 254-Z on land surveying and cartographic activity.";"This Ministerial Decree validates the Regulation on State cartographic and geodetic fund and the Regulation on state geodetic survey. State cartographic and geodetic fund shall contain geodetic and cartographic materials and data stored at specialized organization authorized to form, keep and store State cartographic and geodetic fund. Inclusion to and exclusion from State cartographic and geodetic fund of materials, data and information shall be carried out in accordance with the established modalities in accordance with expert opinion expressed by the Ministry o Justice. Access to information and data contained in State cartographic and geodetic fund can be restricted or denied in cases envisaged by the legislation. State geodetic survey shall be carried out by the authorized stat land-surveying institutions and bodies. Its main tasks shall be: (a) enforcement of land-surveying legislation; (b) correct designation of state bodies; (c) conservation of geodetic observation points; and (c) supervision over formation, keeping and storage of materials, information and data in the State cartographic and geodetic fund.

Implements: Law No. 254-Z on land surveying and cartographic activity. (1999-05-10)
Repeals: Ministerial Decree No. 1066 validating the Regulation on State Cartographic and Geodetic Fund. (2002-02-28)
Repeals: Ministerial Decree No. 1067 validating the Regulation on state supervision over geodetic and cartographic activities. (2005-12-03)";"gnetii";"";"";"FAO Legal Office";"2009-03-09";"ru";"surveyors";"";"Land Policy & Legislation";"BLR;ARM;BLR;KAZ;KGZ;MDA;RUS;TJK;TKM;UKR;UZB;151;150";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC104140";"http://extwprlegs1.fao.org/docs/pdf/blr104140.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"19"
"LEX-FAOC160378";"Ministerial Decree No. 94 on approval of regulations for land use.";"This Decree sets forth provisions on efficient use of land for all land owners, users and lessees, soil operations, protection of environment, soil protection, improvement of natural and man-made landscapes, scientific research and sustainable development. This Decree specifies that land structures consist of complex and economic structure. The scheme and projects on soil operations shall be implemented by the State Committee on Property Issues and the State Committee of Real Estate and Land Issues of the Nakhcevan Autonomous Republic.

Implements: Law No.593 of 1998 on state land cadastre, land monitoring and land survey. (1998-12-22)";"Toshiba";"";"Government of Azerbaijan";"FAO Legal Office";"1999-06-07";"az";"protected areas;land use planning;land governance;research;environment;land management";"";"Land Policy & Legislation";"AZE;142;ARM;BLR;KAZ;KGZ;MDA;RUS;TJK;TKM;UKR;UZB;AFG;ARM;AZE;BDI;BFA;BOL;BTN;BWA;CAF;ETH;KAZ;KGZ;LAO;LSO;MDA;MKD;MLI;MNG;MWI;NER;NPL;PRY;RWA;SSD;SWZ;TCD;TJK;TKM;UGA;UZB;ZMB;ZWE;145";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC160378";"http://extwprlegs1.fao.org/docs/pdf/aze160378.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC160379";"Regional Act No. 11 setting up the Regional Database on Agricultural lands.";"The aim of this Regional Act is to minimize abandonment of agricultural lands in the regional territory. To this end it established the Regional Database on Agricultural Lands, which shall include all abandoned lands and pastures available for lease or concession.
";"";"";"";"FAO Legal Office";"2015-03-24";"it";"leases;land;farmland";"";"Land Policy & Legislation";"ITA;150;AUT;BEL;BGR;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;MLT;NLD;POL;PRT;ROU;SVK;SVN;SWE;039";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC160379";"http://extwprlegs1.fao.org/docs/pdf/ita160379.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
"LEX-FAOC137231";"Regulation on the content and manner of keeping records of the state border.";"This Regulation prescribes all necessary standards and specific requirements aimed to correctly define the content and manner of keeping records of the state border of the Republic of Croatia.The records contain official data on the state border and on land (land zoning) taken from the intergovernmental agreements on the border of the Republic of Croatia that were concluded with neighboring countries.

Implements: Law on State survey and the real estate cadastre. (2007-01-26)";"Peter Pusara (CONSLEG)";"";"Government of Croatia";"FAO Legal Office";"2008-09-15";"hr";"land consolidation;cadastres;land registration";"";"Land Policy & Legislation";"HRV;150;039";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC137231";"http://extwprlegs1.fao.org/docs/pdf/cro137231.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"4"
"LEX-FAOC120951";"Regional Law No. 166-OZ “On regulation of some land relations”.";"This Regional Law regulates plenary powers of state bodies and local self-government in the sphere of land relations and land tenure. Allotment of public and municipal land parcels to natural and legal persons shall be performed for payment. The following land categories shall be state property: (a) land areas acknowledged as public by federal laws; (b) public ownership originating from delimitation of state property to land; and (c) land areas purchased in accordance with the acting legislation. Public land shall be registered in the State register of property. Private servitude to public land parcels and parts thereof shall be established in accordance with the application by the person concerned.

Amended by: Regional Law No. 109-OZ amending Regional Law No. 166-OZ “On regulation of some land relations”. (2012-11-02)
Amended by: Regional Law No. 500-OZ amending Regional Law No. 166-OZ “On regulation of some land relations”. (2015-03-17)";"Vsevolod Gnetii (CONSLEGB)";"";"Government of Russia";"FAO Legal Office";"2008-12-29";"ru";"public ownership;land ownership;land tenure";"";"Land Policy & Legislation";"RUS;ARM;BLR;KAZ;KGZ;MDA;RUS;TJK;TKM;UKR;UZB;151;150";"Legislation";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC120951";"http://extwprlegs1.fao.org/docs/pdf/rus120951.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"17"
"LEX-FAOC137232";"Regulation on topographic surveying and state maps.";"This Regulation prescribes the: correct manner of collecting, processing and storing of data obtained by topographic surveying; method for the administration and maintenance of cartographic database; manner of making the official state map of appropriate scale; and further defining all natural and legal persons engaged in the state survey and real estate cadastre mapping.The Annex is an integrated part of this Regulation.

Implements: Law on State survey and the real estate cadastre. (2007-01-26)";"Peter Pusara (CONSLEG)";"";"Government of Croatia";"FAO Legal Office";"2008-09-08";"hr";"surveyors";"";"Land Policy & Legislation";"HRV;150;039";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC137232";"http://extwprlegs1.fao.org/docs/pdf/cro137232.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"18"
"LEX-FAOC114658";"Order No. 907 on subsidy subsidies for Natura 2000 projects on the clearing of overgrown areas and for their grazing.";"The Order aims to provide subsidy to clear overgrown areas which need preparation for grazing in order to ensure improvement of conservation of habitats and species in specifically designated areas set out by Natura 2000 areas. The Danish AgriFish Agency shall grant subsidies upon prior assessment of land. Measures for the preparation of grazing include establishment of fences, water supply and electricity supply. Agreements of such grants shall be authorized for measures implemented between 15 July and 31 March and within 6 months’ from the initiation of clearing trees and shrubs for grazing. Non-eligible project costs include: expenses for gardens (if authorization of gracing has not been granted); expenses related to activities and subsidies under other legislations; finance and banking costs; VAT; expenses for the research of technological development; purchase, rental and/or lease of used equipment; expenses with reference to article 54 of the Commission Regulation (EC) No 1974/2006 of 15 December 2006 on implementing Council Regulation (EC) No 1698/2005 on subsidy for rural development from the European Agricultural Fund for Rural Development (EAFRD); costs related to areas such as inland dunes, heaths and forest; costs associated to the establishment of fences not related to the acquisition and installation of fences, including the cost of removal of existing fences.The Order consists of 13 Chapters and 2 Appendix: Objectives (1); Administration (2); Area designations (3); Eligible projects (4); Conditions for the grant of subsidies (5); Changes of project and implementation of agreement (6); eligible projects’ costs (7); Calculation of subsidy (8); Payment of subsidy (9); Duty to notify (10); Repealing of agreements and repayment of subsidy (11); Force majeure (12) entry into force (13).Appendix 1 - Criteria for prioritization of candidate projects of listed category – see article 5, section 1, No. 1.Appendix 2 - Criteria for prioritization of candidate projects of listed category – see article 5, section 1, No. 1.

Implements: Rural Development Act (No. 316 of 2007). (2007-03-31)
Amended by: Order No. 182 amending the Order on subsidies for Natura 2000 projects with regards to clearing of overgrown areas for their grazing. (2012-02-28)
Repealed by: Order No. 520 on subsidies for Natura2000 projects of clearing overgrown areas for the preparation of pasture. (2015-04-24)";"Camilla";"";"Government of Denmark";"FAO Legal Office";"2011-08-19";"da";"farming systems";"";"Land Policy & Legislation";"DNK;150;AUT;BEL;BGR;CYP;CZE;DEU;DNK;ESP;EST;FIN;FRA;GBR;GRC;HRV;HUN;IRL;ITA;LTU;LUX;LVA;MLT;NLD;POL;PRT;ROU;SVK;SVN;SWE;154";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC114658";"http://extwprlegs1.fao.org/docs/pdf/den114658.doc";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";"15"
"LEX-FAOC160373";"Ministerial Decree No. 94 on approval of the regulation on state land cadastre.";"This Decree underlines that state land cadastre shall be carried out on a single system. This system is composed of geo-botanical and other search-and-research studies on the basis of geodesic, cartographic and topographic data, land use registration, land registration, land evaluation, thematic mapping, inspection and methods for indicators affect adversely the soil fertility and soil quality. These methods and programs shall be approved by the State Committee on Property Issues. In short, state land cadastre is the set of necessary and trustworthy information on the state registration of land tenure, the quantitative and qualitative registration, bon and economic estimation of the lands. This Decree states that cadastral data shall be updated and clarified by collecting data from all land users regardless of ownership about the changes in soil composition. The State Committee on Property Issues shall give report to the Council of Ministers and to the State Statistics Committee regarding quantity, quality and use of all lands in Azerbaijan.

Implements: Law No.593 of 1998 on state land cadastre, land monitoring and land survey. (1998-12-22)";"Toshiba";"";"Government of Azerbaijan";"FAO Legal Office";"1999-06-07";"az";"surveyors;land valuation;land registration;land use planning;cadastres;land management;land tenure";"";"Land Policy & Legislation";"AZE;142;ARM;BLR;KAZ;KGZ;MDA;RUS;TJK;TKM;UKR;UZB;AFG;ARM;AZE;BDI;BFA;BOL;BTN;BWA;CAF;ETH;KAZ;KGZ;LAO;LSO;MDA;MKD;MLI;MNG;MWI;NER;NPL;PRY;RWA;SSD;SWZ;TCD;TJK;TKM;UGA;UZB;ZMB;ZWE;145";"Regulations";"http://www.fao.org/faolex/results/details/en/c/LEX-FAOC160373";"http://extwprlegs1.fao.org/docs/pdf/aze160373.pdf";"";"All rights reserved";"© FAO. FAO is committed to making its content freely available and encourages the use, reproduction and dissemination of the text, multimedia and data presented. Except where otherwise indicated, content may be copied, printed and downloaded for private study, research and teaching purposes, and for use in non-commercial products or services, provided that appropriate acknowledgement of FAO as the source and copyright holder is given and that FAO's endorsement of users' views, products or services is not stated or implied in any way.";""
