ID;Title;Subtitle;Abstract/Description;Authors;Corporate authors;Publishers;Data provider;Publication date;Languages;Related concepts;Themes;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License;Copyright details;Pages;Potential List;Internal ID;
"handle:10568/94037";"Sustainable bioenergy systems to restore and valorize degraded land";"";"";"Baral, H.
Lee, S.M.";"";"";"CGIAR";"2016-12-31";"en";"forestry";"Forest Landscape Restoration;Forest Tenure";"";"Policy Papers & Briefs";"https://hdl.handle.net/10568/94037";"";"";"All rights reserved";"";"";"";"97331"
"handle:10568/94740";"Di bawah payung (hukum) yang bocor: Hikmah dari Pengelolaan Kolaboratif TAHURA Nipa-Nipa";"";"";"Moeliono, M.
Adnan, H.
Mulyana, A.
Yuliani, L.
Teras";"World Agroforestry Centre";"";"CGIAR";"2015-12-31";"id";"land tenure";"";"IDN;035";"Policy Papers & Briefs";"https://hdl.handle.net/10568/94740";"";"";"All rights reserved";"";"";"";"98034"
"handle:10568/95090";"Social impacts of forest policy changes in Western Australia on members of the natural forest industry: implications for policy goals and decision-making processes";"";"";"Loxton, E.A
Schirmer, J
Kanowski, P.";"";"";"CGIAR";"2014-12-31";"en";"forestry;natural resources management;land management;forestry policies;forest land";"Forest Tenure";"AUS;009";"Journal Articles & Books";"https://hdl.handle.net/10568/95090";"";"";"All rights reserved";"";"";"";"98384"
"handle:10568/89929";"Gender and the commons: Pastoral women’s land rights and village land use planning in Tanzania: Experiences from the sustainable rangeland management project";"";"In pastoral societies women face many challenges. Some describe these as a ‘double burden’ –
that is, as pastoralists and as women. However, pastoral women may obtain a significant degree
of protection from customary law even if customary institutions are male-dominated. In periods
of change (economic, social, political), this protection may be lost, and without protection from
statutory laws, women are in danger of “falling between two stools” (Adoko and Levine 2009). A
study carried out in four villages in Tanzania, supported by the International Land Coalition,
sought to understand the challenges and opportunities facing pastoral women with respect to
accessing land and resources, in the context of village land use planning. This research presents
empirical data on pastoral women’s land rights, shedding light on some of the details of these
and their manifestation considering the differing contexts, land use patterns, and nature of
rights to land. There are some common themes – particularly around the challenges facing
women in pastoral communities including lack of space to make their views heard, lack of
awareness of their rights, coupled with broader governance challenges. New processes
underway such as a government-led review of Tanzania’s land policy and the accompanied
implementation strategy ,the new land policy provide opportunities to overcome these
challenges.";"Kisambu, N.
Flintan, Fiona E.
Daley, E.
Pallas, S.";"Tanzania Women's Lawyer's Association;International Livestock Research Institute;International Land Coalition";"";"CGIAR";"2017-07-14";"en";"pastoral lands;rangelands;pastoralists;land use planning;women";"Land & Gender;Rangelands, Drylands & Pastoralism;Land Stakeholders & Institutions";"TZA;002;014;018";"Conference Papers & Reports";"https://hdl.handle.net/10568/89929";"";"";"Creative Commons Attribution";"CC-BY";"";"";"92999"
"handle:10568/82103";"Caso Cabricán, Quetzaltenango, Guatemala";"";"";"Arriola, Francisco
Herrera, Rudy";"";"Instituto Interamericano de Cooperación para la Agricultura";"CGIAR";"1991-12-31";"es";"land use;land management;land tenure";"";"013;GTM;005";"Journal Articles & Books";"https://hdl.handle.net/10568/82103";"";"";"All rights reserved";"";"";"";"84502"
"handle:10568/82100";"Validación integrada de tecnología en la región suroriental de Guatemala  Un enfoque de sistema con participación interinstitucional";"";"";"Heer, Carlos
Celada, J. Ernesto";"";"Instituto Interamericano de Cooperación para la Agricultura";"CGIAR";"1991-12-31";"es";"land use";"";"013;GTM;005";"Journal Articles & Books";"https://hdl.handle.net/10568/82100";"";"";"All rights reserved";"";"";"";"84499"
"handle:10568/82101";"Desarrollo agropecuario sostenible en la región de Hojancha, Guanacaste, Costa Rica";"";"";"Campos, Oscar
Rodríguez, Emel
Ugalde A., Luis A.";"";"Instituto Interamericano de Cooperación para la Agricultura";"CGIAR";"1991-12-31";"es";"land use;agriculture;rural development";"";"013;CRI;005";"Journal Articles & Books";"https://hdl.handle.net/10568/82101";"";"";"All rights reserved";"";"";"";"84500"
"handle:10568/82105";"Microrregión Acosta-Puriscal, Costa Rica";"";"";"Jiménez Ruiz, Ramiro
Quirós, Olman";"";"Instituto Interamericano de Cooperación para la Agricultura";"CGIAR";"1991-12-31";"es";"deforestation;land use";"Forest Landscape Restoration;Land, Climate change & Environment;Land, Climate Change & Environment;Forest Tenure";"013;CRI;005";"Journal Articles & Books";"https://hdl.handle.net/10568/82105";"";"";"All rights reserved";"";"";"";"84504"
"handle:10568/82108";"Plan Sierra, República Dominicana: Una experiencia de ecodesarrollo en laderas tropicales";"";"";"Adames, Inmaculada
Santos, Blas";"";"Instituto Interamericano de Cooperación para la Agricultura";"CGIAR";"1991-12-31";"es";"land use";"";"029;DOM";"Journal Articles & Books";"https://hdl.handle.net/10568/82108";"";"";"All rights reserved";"";"";"";"84507"
"handle:10568/89924";"Trade-Offs in Multi-Purpose Land Use under Land Degradation";"";"Land provides a host of ecosystem services, of which the provisioning services are often considered paramount. As the demand for agricultural products multiplies, other ecosystem services are being degraded or lost entirely. Finding a sustainable trade-off between food production and one or more of other ecosystem services, given the variety of stakeholders, is a matter of optimizing land use in a dynamic and complex socio-ecological system. Land degradation reduces our options to meet both food demands and environmental needs. In order to illustrate this trade-off dilemma, four representative services, carbon sinks, water storage, biodiversity, and space for urbanization, are discussed here based on a review of contemporary literature that cuts across the domain of ecosystem services that are provided by land. Agricultural research will have to expand its focus from the field to the landscape level and in the process examine the cost of production that internalizes environmental costs. In some situations, the public cost of agriculture in marginal environments outweighs the private gains, even with the best technologies in place. Land use and city planners will increasingly have to address the cost of occupying productive agricultural land or the conversion of natural habitats. Landscape designs and urban planning should aim for the preservation of agricultural land and the integrated management of land resources by closing water and nutrient cycles, and by restoring biodiversity.";"Vlek, Paul L.G.
Khamzina, Asia
Azadi, Hossein
Bhaduri, Anik
Bharati, Luna
Braimoh, Ademola
Martius, Christopher
Sunderland, Terry
Taheri, Fatemeh";"";"";"CGIAR";"2017-12-31";"en";"urbanization;land use;land degradation";"Urban Tenure;Land, Climate change & Environment;Land, Climate Change & Environment";"";"Journal Articles & Books";"https://hdl.handle.net/10568/89924";"";"";"All rights reserved";"";"";"";"92995"
