Artikel;Issue;ID;Title;Abstract/Description;Authors;Corporate authors;Publishers;Data Provider;Publicaton date (YYYY/MM);Language;Related concepts;Themes;Overarching Categories;Geographical focus;Resource types;Link to the original website;Link to the publication;Thumbnail;License
1;Water and climate change;Rural21-Vol:43-Nr:4/2009-Article:1;Water and adaptation to climate change;Developing countries, as a group, are the ones most threatened by the hydrological impacts of global climate change. Water is a critical resource in development, and it is affected by climate change in multiple, complex ways ? through changes in temperature and rising sea levels, changes in precipitation patterns, and melting snowfields and glaciers.;"Mark Svendsen
President; Nana Künkel
";;DLG-Verlag;Rural21;2009/07;English;"climate change; water management; water rights; natural resources management";Land, Climate change & Environment;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2009-04en/focus/water-and-adaptation-to-climate-change/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Water_and_adaptation_to_climate_change_0409.pdf;private://feeds/Rural21_2009-04_en.jpg;All rights reserved
2;Water and climate change;Rural21-Vol:43-Nr:4/2009-Article:2;Impact of melting glaciers in the Himalaya;The Himalayan region is not only tectonically active and ecologically fragile but is it also one of the most economically underdeveloped and most densely populated mountain ecosystems on the planet. These natural as well as human characteristics render the Himalayan region highly vulnerable to the impacts of development, degradation and climate change and in particular the impact of melting of glaciers and changes in the patterns of precipitation.;Professor Syed Iqbal Hasnain;;DLG-Verlag;Rural21;2009/07;English;"climate change; water management; natural resources management";Land, Climate change & Environment;Land Use, Management & Investment;Asia;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2009-04en/focus/impact-of-melting-glaciers-in-the-himalaya/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Impact_of_melting_glaciers_in_the_Himalaya_0409.pdf;private://feeds/Rural21_2009-04_en.jpg;All rights reserved
3;Water and climate change;Rural21-Vol:43-Nr:4/2009-Article:3;Do we need to worry about water in the Amazon?;The economy of the Amazon region relies heavily on water for transport and livelihoods. Important also for the regional water cycle, the Amazon ecosystems are threatened by climate change, although there is little knowledge about the likelihood of adverse events and potentially related vulnerabilities. Therefore research and building up capacities for collective action are cornerstones of adaptation to climate change. Since 2008, strategic policy approaches have emerged. The region has only started to prepare itself for the things to come.;"Jan Börner; Johannes Scholl";;DLG-Verlag;Rural21;2009/07;English;"water management; natural resources management; sustainable land management; climate change; environment";Land, Climate change & Environment;Land Use, Management & Investment;South America;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2009-04en/focus/do-we-need-to-worry-about-water-in-the-amazon/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Do_we_need_to_worry_about_water_in_the_Amazon__0409.pdf;private://feeds/Rural21_2009-04_en.jpg;All rights reserved
4;Water and climate change;Rural21-Vol:43-Nr:4/2009-Article:4;Impact of climate change on the Nile river basin;The River Nile provides an invaluable source of livelihoods to over 160 million of people who dwell in its valley. The river valley is renowned for being a cradle of civilisation. As the populations grew and civilisation evolved, the demand for more water resources took a toll in the region. The more recent visible climate change effects have further compounded water management in the basin. Water and food security in the region is under threat, hence the need for robust transboundary water management. An effective institutional arrangement is a key factor in facilitating this process.;"Tom Waako; Simon Thuo; Audace Ndayizeye";Nile Basin Initiative;DLG-Verlag;Rural21;2009/07;English;"climate change; water management; natural resources management; food security";"Land, Climate change & Environment; Land & Food Security";Land Use, Management & Investment;Egypt;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2009-04en/focus/impact-of-climate-change-on-the-nile-river-basin/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Impact_of_climate_change_on_the_Nile..._0409_01.pdf;private://feeds/Rural21_2009-04_en.jpg;All rights reserved
5;Water and climate change;Rural21-Vol:43-Nr:4/2009-Article:5;Integrated Watershed Management;"Water and soils are increasingly becoming a limiting resource for meeting the food requirements
of a growing world population. Integrated concepts for managing natural resources in a sustainable
and environmentally sound manner show encouraging impacts, if applied on a large scale and
over a long period like in Tigray, the northernmost regional state of Ethiopia.";Professor Gerd Förch;;DLG-Verlag;Rural21;2009/07;English;"climate change; water management; water rights; food security; natural resources management; sustainable land management; environment";"Land, Climate change & Environment; Land & Food Security";Land Use, Management & Investment;Ethiopia;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2009-04en/focus/integrated-watershed-management/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Integrated_Watershed_Management_0409.pdf;private://feeds/Rural21_2009-04_en.jpg;All rights reserved
6;Water and climate change;Rural21-Vol:43-Nr:4/2009-Article:6;Water harvesting for home food security;Poverty in rural households have deepened in the past two years through world events: unprecedented rises in food and fuel prices were followed by global economic meltdown, all amidst growing climate uncertainty. Balancing water availability within and across growing seasons, water harvesting helps to buffer households against drought. Research on water harvesting in South Africa has focused on rural household livelihoods. Innovative results on appropriate water harvesting technologies and food security facilitation techniques are now being implemented in villages across South Africa.  ;"Marna de Lange; Erna Kruger; CM Stimie";;DLG-Verlag;Rural21;2009/07;English;"climate change; water management; poverty; rural population; rural development; research; food security; farming systems";Land, Climate change & Environment;Land Use, Management & Investment;South Africa;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2009-04en/focus/water-harvesting-for-home-food-security/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Water_harvesting_0409.pdf;private://feeds/Rural21_2009-04_en.jpg;All rights reserved
7;Water and climate change;Rural21-Vol:43-Nr:4/2009-Article:7;How do small farmers respond to climate change in Rajasthan?;Water is scarce in India's semiarid zones of Rajasthan. Climate change is putting additional pressure on the rare resources. Irregular or no rainfall forces many small farmers to abandon their fields, at least temporarily, and seek work in the towns. Participative water management projects as practiced in Bhipur village, growing crops with low water requirements and more sustainable farming practices are adaptation strategies that allow farmers to continue their activities despite climate risks. Such adaptation approaches are vital for the future in order to prevent the rural exodus and guarantee food security for the population. ;"Kaspar Akermann; Lea Herberg; Anna Kalisch";GIZ;DLG-Verlag;Rural21;2009/07;English;"water rights; water management; climate change; natural resources management; farmers; farming systems; sustainable land management; rural development; food security";"Land, Climate change & Environment; Land & Food Security";Land Use, Management & Investment;India;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2009-04en/focus/how-do-small-farmers-respond-to-climate-change-in-rajasthan/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_How_do_small_farmers_respond..._0409.pdf;private://feeds/Rural21_2009-04_en.jpg;All rights reserved
8;Water and climate change;Rural21-Vol:43-Nr:4/2009-Article:8;Knowledge management pays dividends;Many adaptation measures urgently needed in agriculture today as a consequence of climate change concern water in agriculture and were already devised and implemented in the 1980s as a part of rural development activities. However, most of the experience and knowledge have sunk without trace. Systematic knowledge management at that time would have made it possible to benefit from this experience today in the planning and implementation of water-related adaptation measures, providing effective support for these measures and hastening their implementation. In addition good knowledge management ensures that recent and relevant knowledge can be quickly accessed and put to use.;Artur Vallentin;GIZ;DLG-Verlag;Rural21;2009/07;English;"agriculture; climate change; water management; farming systems";Land, Climate change & Environment;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2009-04en/opinion/knowledge-management-pays-dividends/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Knowledge_management_pays_dividends_0409.pdf;private://feeds/Rural21_2009-04_en.jpg;All rights reserved
9;Water and climate change;Rural21-Vol:43-Nr:4/2009-Article:9;Foreign direct investments in land in developing countries;The world food crisis has spurred foreign direct investments (FDI) into arable land in developing countries. While significant financial inflows into agricultural sectors could be beneficial on a global scale, it could negatively affect local livelihoods. This article provides an overview of the different types of FDI in land. In addition, examples of investment flows are illustrated in an overview and a sustainable impact matrix outlines the occurring effects. Finally, requirements of avoiding negative effects are presented, to achieve a Pareto-efficient win-win situation. ;"Matthias Bickel; Dr Thomas Breuer";GIZ;DLG-Verlag;Rural21;2009/07;English;"food security; land investments; agriculture; local community; rural population; land; land rights; land deals";Land & Investments;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2009-04en/international-platform/foreign-direct-investments-in-land-in-developing-countries/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Foreign_direct_investments_0409.pdf;private://feeds/Rural21_2009-04_en.jpg;All rights reserved
10;Water and climate change;Rural21-Vol:43-Nr:4/2009-Article:10;Development policy and security policy: An alliance with conflict (management) potential;In Germany, the debate about the security/development nexus is gathering pace. The reality of life in crisis regions, the management of post-conflict situations and the precautionary anticipation of demands arising in the context of crisis management all require the highest level of coordination at political and local level and on a cross-sectoral basis. Long-term improvement of this coordination, both vertical and horizontal, is the most important resource factor for these two policy areas and can be achieved without mobilising additional budget funds. As one ' by no means insignificant ' outcome, coordinated activities can lay reservations to rest that may otherwise prevail among the various actors working in crisis regions.;"Axel v. Hoerschelmann; Dr Bernhard Voget";;DLG-Verlag;Rural21;2009/07;English;"rural development; land conflicts; sustainable land management";Land Conflicts;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2009-04en/international-platform/development-policy-and-security-policy-an-alliance-with-conflict-management-potential/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Development_policy_and_security_policy_0409.pdf;private://feeds/Rural21_2009-04_en.jpg;All rights reserved
11;Water and climate change;Rural21-Vol:43-Nr:4/2009-Article:11;Maize to help prevent night blindness;A team of German and Spanish scientists has genetically modified a maize plant in a way that markedly increases the level of three vitamins in the maize kernels. The level of betacarotene, the precursor to vitamin A, was raised by a factor of 169, the level of vitamin C increased six-fold and the level of folic acid, a vitamin of the B group, doubled.;;;DLG-Verlag;Rural21;2009/07;English;"research; water management; farming systems";;Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2009-04en/scientific-world/maize-to-help-prevent-night-blindness/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Maize_to_help_prevent_night_blindness_0409.pdf;private://feeds/Rural21_2009-04_en.jpg;All rights reserved
1;The urban-rural bias;Rural21-Vol:13-Nr:1/2008-Article:1;Mitigating rural-urban disparities in China and India;The early development strategies of both China and India were urban- and industry-focused, discounting the importance of rural development. Despite sweeping reforms in both countries, the urban bias and subsequent spatial disparities still exist today. In order to reduce poverty and increase growth, developing countries need to correct these spatial disparities through a set of policies that take advantage of the synergies and linkages between rural and urban areas.;"Shenggen Fan; Joanna Brzeska";International Food Policy Research Institute;DLG-Verlag;Rural21;2008/01;English;"urbanization; land reform; rural development; poverty; urban population; land policies; urban areas";Urban Tenure;Land Policy & Legislation;"China; India";Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2008-01en/focus/mitigating-rural-urban-disparities-in-china-and-india/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Mitigating_rural-urban_disparities...0108.pdf;private://feeds/Rural21_2008-01_en.jpg;All rights reserved
2;The urban-rural bias;Rural21-Vol:13-Nr:1/2008-Article:2;Kenya: thriving green crops with no economic impact;Kenya is still largely agrarian with 80 percent of its population depending on agriculture for food, employment and income. The dilemma facing the country is that only 20 percent of the land is suited for agricultural production. A greater proportion of the country, however, consists of agroecologically less favoured areas (LFAs). Another dilemma in Kenya?s agricultural sector is that economic development impacts are not homogeneously spread even among the agriculturally favoured areas. For rural development government policies need to include developing infrastructure and institutions to open up the economically less favoured areas.;Professor Mark O. Odhiambo;;DLG-Verlag;Rural21;2008/01;English;"agrarian reform; rural population; agriculture; rural development; farming systems; land use; land policies";;"Land Policy & Legislation; Land Use, Management & Investment";Kenya;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2008-01en/focus/kenya-thriving-green-crops-with-no-economic-impact/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Kenya_s_agricultural_dilemma_0108.pdf;private://feeds/Rural21_2008-01_en.jpg;All rights reserved
3;The urban-rural bias;Rural21-Vol:13-Nr:1/2008-Article:3;EU Regional Policy: a model for developing countries?;Development assistance is contingent upon the efficiency and effectiveness of delivery mechanisms. EU regional policy offers an appealing paradigm of how to achieve tangible outcomes with sound financial management;Dr. Charalampos Koutalakis;;DLG-Verlag;Rural21;2008/01;English;"development agencies; sustainable development; land deals; urbanization";Land Stakeholders & Institutions;Land Policy & Legislation;"Global; Europe";Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2008-01en/focus/eu-regional-policy-a-model-for-developing-countries/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_EU_Regional_Policy_0108.pdf;private://feeds/Rural21_2008-01_en.jpg;All rights reserved
4;The urban-rural bias;Rural21-Vol:13-Nr:1/2008-Article:4;Urban agriculture - a key to food security;Dar es Salaam is one of the fastest growing cities in sub-Saharan Africa. In its rapidly expanding peri-urban fringe poor migrants from distant rural areas settle down on plots they can afford that provide access to urban markets. They engage in commercial poultry farming establishing sustainable livelihoods and improving food security in the city.;Dr. Aldo Lupala;;DLG-Verlag;Rural21;2008/01;English;"urbanization; urban population; rural population; land markets; land; farming systems; food security; farmers; land policies";Urban Tenure;"Land Policy & Legislation; Land Use, Management & Investment";Tanzania;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2008-01en/focus/urban-agriculture-a-key-to-food-security/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Urban_agriculture..._0108.pdf;private://feeds/Rural21_2008-01_en.jpg;All rights reserved
5;The urban-rural bias;Rural21-Vol:13-Nr:1/2008-Article:5;Food chains: bridging distances by linking the family farm to the supermarket;In many developing countries, supermarkets are growing fast. This growth entails a change in the food chain that supplies fresh foods from farmers and processed foods via agroprocessors. Farmers who wish to participate in the food chain have to adapt to the supermarkets' requirements. It is the task of governments to improve infrastructures, and access to support services and financial services.;Dr. Peter Fellows;;DLG-Verlag;Rural21;2008/01;English;"food security; farmers; farming systems; land policies";Land & Food Security;Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2008-01en/focus/food-chains-bridging-distances-by-linking-the-family-farm-to-the-supermarket/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Food_chains_0108.pdf;private://feeds/Rural21_2008-01_en.jpg;All rights reserved
6;The urban-rural bias;Rural21-Vol:13-Nr:1/2008-Article:6;Mobile telecommunications: bridging the urban/rural divide;"The spread of mobile telecommunications in Africa is opening up new horizons in business and politics. More than 10 percent of the African population now has a  mobile phone. In areas without roads where contact was formerly difficult, the mobile phone is sweeping aside communication problems. New business links are now possible; a new era is dawning in Africa.";"  
Thomas Scheen";;DLG-Verlag;Rural21;2008/01;English;"urbanization; urban population; rural population";;;Africa;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2008-01en/focus/mobile-telecommunications-bridging-the-urbanrural-divide/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Mobile_telecommunications_0108.pdf;private://feeds/Rural21_2008-01_en.jpg;All rights reserved
7;The urban-rural bias;Rural21-Vol:13-Nr:1/2008-Article:7;Afghanistan: failing state - failing cooperation?;"Six years after the fall of the Taliban, Afghanistan is a long way from political stability and economic progress. The decline of state influence continues, especially in rural areas; because of the security situation, aid organisations are drastically cutting back their programmes and military considerations are taking on overriding importance. ";Dr. Hans-Joachim Preuss;Welthungerhilfe;DLG-Verlag;Rural21;2008/01;English;"rural development; land conflicts; development agencies";"Land Stakeholders & Institutions; Land Conflicts";Land Policy & Legislation;Afghanistan;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2008-01en/opinion/afghanistan-failing-state-failing-cooperation/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Afghanistan_0108.pdf;private://feeds/Rural21_2008-01_en.jpg;All rights reserved
8;The urban-rural bias;Rural21-Vol:13-Nr:1/2008-Article:8;The Horn of Africa: confl ict prevention through regional mechanisms;The Horn of Africa is one of the most conflict-prone areas of the world. It is also home to about 20 million pastoralists, which keep moving with their livestock in search for grazing land and water points. Pastoral conflicts are becoming more and more serious. CEWARN - a regional mechanism for preventing conflicts - tries to close the gap between 'early warning' and 'early response'.;"Simone Kopfmüller; Abdirashid Warsame";"GIZ; Conflict Early Warning and Response Mechanism";DLG-Verlag;Rural21;2008/01;English;"land conflicts; pastoralists; pastoral land rights; grazing; grazing lands; development agencies";"Rangelands, Drylands & Pastoralism; Land Conflicts";Access to Land & Tenure Security;Africa;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2008-01en/international-platform/the-horn-of-africa-confl-ict-prevention-through-regional-mechanisms/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_The_Horn_of_Africa_0108.pdf;private://feeds/Rural21_2008-01_en.jpg;All rights reserved
9;The urban-rural bias;Rural21-Vol:13-Nr:1/2008-Article:9;Social Business Enterprises: new markets - new ways out of poverty?;Four billion people who live on less than two US dollars per day represent in total an enormous purchasing power. Multinational corporations such as Nestlé, Unilever, Danone and Dr. Oetker discovered these markets long ago and now seek to attract this customer group with new products and marketing strategies. It is time to take a close look at the effects of this development on poverty;Christine Chemnitz;Heinrich Böll Foundation;DLG-Verlag;Rural21;2008/01;English;"poverty; extractive industries; land markets; sustainable development";Land Stakeholders & Institutions;;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2008-01en/international-platform/social-business-enterprises-new-markets-new-ways-out-of-poverty/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Social_Business_Enterprises_0108.pdf;private://feeds/Rural21_2008-01_en.jpg;All rights reserved
10;The urban-rural bias;Rural21-Vol:13-Nr:1/2008-Article:10;Local use agreements: contributing to decentralisation and democritisation?;There is growing degradation in sylvo-pastoral lands that were originally under common property regimes, but over which the state now asserts ownership. User associations are being given the right to take charge of regulating how these areas are sustainably exploited by means of use agreements, and are proving an effective instrument in halting the degradation process.;"Karl P. Kirsch-Jung; Winfried von Urff";;DLG-Verlag;Rural21;2008/01;English;"pastoralists; pastoral land rights; common property; property rights; land use; grazing contracts; land degradation; sustainable land use; use rights";"Land, Climate change & Environment; Rangelands, Drylands & Pastoralism";Land Policy & Legislation;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2008-01en/international-platform/local-use-agreements-contributing-to-decentralisation-and-democritisation/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Local_use_agreements_0108.pdf;private://feeds/Rural21_2008-01_en.jpg;All rights reserved
11;The urban-rural bias;Rural21-Vol:13-Nr:1/2008-Article:11;What is new in agricultural research? - the ''Tropentag'' 2007;Since 1996, the Centres for Agriculture in the Tropics and Subtropics of the Universities of Hohenheim and Göttingen and of Berlin's Humboldt University have organised a conference, the ''Tropentag'', once a year to present and discuss recent findings in research on agriculture and rural development. Other universities, like Kassel-Witzenhausen, have joined in, and the number of participants, papers and posters presented has more than doubled. Over 600 scientists and a number of practitioners from 72 countries gathered in Kassel-Witzenhausen in October at the 2007 Tropentag -  ''Utilization of diversity in land use systems: Sustainable and organic approaches to meet human needs''.;Hartmut Gast;;DLG-Verlag;Rural21;2008/01;English;"research; agriculture; rural development; land use; farming systems; sustainable land management";Land Stakeholders & Institutions;;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2008-01en/scientific-world/what-is-new-in-agricultural-research-the-tropentag-2007/;http://www.rural21.com/fileadmin/_migrated/content_uploads/R21_Tropentag_2007_0108.pdf;private://feeds/Rural21_2008-01_en.jpg;All rights reserved
1;Desertification;Rural21-Vol:14-Nr:1/2007-Article:1;"Millennium Ecosystem Assessment I
- Desertification and natural resources, environment, and food security";If legal instruments are not fully implemented, there is a risk they remain in the domain of virtual reality and wishful thinking.The UN Convention to Combat Desertification (UNCCD) has come a long way since it came into force in 1996, with current membership standing at 191 Parties. 2006 was a landmark year. It was the tenth anniversary of the Convention, and it was also the International Year of Deserts and Desertification (IYDD), declared by the UN General Assembly to increase awareness of this urgent global issue.While progress has been made in tackling desertification, much remains to be done.;Gregoire de Kalbermatten;United Nations Convention to Combat Desertification;DLG-Verlag;Rural21;2007/1;English;"desertification; development agencies; environment; natural resources management";"Land, Climate change & Environment; Land Stakeholders & Institutions";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Millennium_Ecosystem_Assessment_I_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
2;Desertification;Rural21-Vol:14-Nr:1/2007-Article:2;"Millennium Ecosystem Assessment II
- Land and water scarcity as drivers of migration and conflicts?";The Millennium Ecosystem Assessment projects that the intensification of freshwater scarcity in combination with continuous water extraction from delicate dryland ecosystems is likely to exacerbate desertification, thus leading to a downward spiral of ecological deterioration and a precarious depreciation of livelihoods in many developing regions. This in turn can push people to migrate, which can have far reaching implications affecting local, regional, and even global political and economic stability.;Steffen Bauer;;DLG-Verlag;Rural21;2007/1;English;"desertification; sustainable land management; water management; land conflicts; environment; development agencies";"Land, Climate change & Environment; Land Stakeholders & Institutions";Land Use, Management & Investment;Global;Journal Articles & Books;http://www.rural21.com/english/archiv-2005-2011/archive2007-01en/;http://www.rural21.com/fileadmin/_migrated/content_uploads/ELR_Millennium_Ecosystem_Assessment_II_0107.pdf;private://feeds/Rural21_2007-01_en.jpg;All rights reserved
